	movie_id	character	title	agent_verbs	patient_verbs	attributes	religion	age	Gender	title_embeddings
0	12558882	Vishwam		['indulge', 'brother', 'sees']	['married']	['brothers', 'shy', 'quiet']			M	
1	12558882	Rukmani			['kill']	['innocent']			F	
2	2549266	Francine		['walked']		['his']				
3	2549266	Terry Hoitz	detective	['begin', 'reconcile', 'gone', 'tries', 'fails', 'receive', 'apologizes']	['married', 'investigate', 'stuck', 'reconnect', 'splits', 'convinces', 'rejoin', 'sending']	['tempered', 'accusation', 'anger']				
4	61527	Molly				['wife']				
5	61527	Patrick O'Leary		['predicts', 'discovers', 'approves', 'tries', 'expresses']	['rescues', 'race', 'told']					
6	14652733	John Hamilton	artist		['suspected']				M	
7	20783444	Xiaohong		['discovers']	['married']	['marriage']				
8	20783444	Jianjun	taxi driver	['married', 'works', 'announces']		['man', 'son']				
9	24742937	Dean	writer	['keeps']	['holed']	['writer']				
10	1388443	Aldo Bonnard								
11	1388443	Alice								
12	5420277	Michael Beltran		['driving', 'tries', 'uncomfortable', 'voices', 'pays', 'tells', 'gets', 'learns', 'asks', 'interacting', 'wants']	['frustrated', 'encourage', 'take']	['friend', 'wife']			M	
13	5420277	Gail		['frustrated', 'meet', 'responds', 'shows']						
14	29952131	Poonam				['memories', 'death', 'wife', 'nanny']				
15	29952131	Rajeshwari		['learns', 'meets']	['left', 'brings']					
16	29952131	Amit Kumar Singh		['leaves', 'brings']		['wife']				
17	171026	Max Cady	defender	['refuses', 'approaches', 'client', 'uses', 'prepares', 'break', 'arrested', 'turns', 'pulls', 'clings', 'disguised', 'illiterate', 'confronts', 'hints', 'tracks', 'committed', 'cuffs', 'follows', 'hears', 'meets', 'decides', 'sprays', 'unable', 'beats', 'try']	['carries', 'enter', 'follow', 'shackle', 'tried', 'give', 'taking', 'leave', 'beat', 'involving', 'seen', 'approaches', 'knocks', 'kill']	['sentence', 'crime', 'handcuffs', 'shackled', 'lawyer', 'enraged', 'head']			M	
18	171026	Sam Bowden	judge prosecutor lawyer	['admits', 'brought', 'defended', 'attempts', 'disbarred', 'approaches', 'watches', 'burying', 'betrayed', 'crushes', 'had', 'gives', 'manages', 'kept', 'lawyer', 'having', 'discover']	['allowing', 'have', 'confronts', 'reminds', 'tracks', 'gain', 'persuades', 'beating', 'hire', 'kill', 'hears', 'use']	['departure', 'appearance', 'colleague', 'wife', 'threat']			M	
19	171026	Leigh		['offers', 'discover']	['rape', 'rejoining']	['wife']				
20	19769765	Hannah				['convicted']				
21	19769765	Jake Cabrera		['decides']	['render']					
22	5008724	Ganga			['leaving']					
23	5008724	Sharma				['friend']				
24	11445373	Cody Jarrett	leader	['confesses', 'flees', 'introduced', 'starts', 'shoots', 'learns', 'shouts', 'leader', 'escapes', 'surrender', 'decides', 'developed', 'replies', 'intends', 'takes', 'insists', 'suffers']	['shoots', 'steal', 'attached', 'providing', 'kill', 'fight', 'attached']	['gang', 'attempts', 'father', 'man', 'henchmen', 'escape', 'trusting', 'cell', 'confidante']			M	
25	32359190	Leo Fitzjohn	General	['loss']		['womanizer']				
26	32359190	Emily				['wife']				
27	14637197	Bimbo		['drives', 'thinks']	['pushing']	['efforts']				
28	2702787	Larry Ballentine	digger	['injured', 'lies', 'becoming', 'going', 'receives', 'decides', 'married', 'killed', 'rushes', 'takes']	['clean', 'reprimanded', 'give']					
29	2702787	Greta		['grown', 'love']	['kill', 'married']	['that', 'body']				
30	21918632	Doug Billings		['dealer', 'revealing', 'married', 'is']	['find', 'locate']	['mattress']				
31	35752295	Rajeev	surgeon	['surgeon', 'live']	['helps', 'served']	['story']				
32	3654603	Jurota Yamane			['help', 'finds']	['clan']				
33	3654603	Taka			['help', 'finds']	['wife']				
