Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name	partner	Has_partner
Dion O'Leary	/m/0h36wss		['ask', 'make', 'bribe']	6.3084016	-7.1089277	-1.4133997	2	61527		False	1938.0	M	1.82	/m/06v41q	Tyrone Power	23.0		['Drama', 'Black-and-white', 'Action/Adventure']	In Old Chicago		0
Lauren Adrian	/m/04dq5y0	['reporter']	['convince', 'reporter', 'story']	24.024181	0.6183006	34.561726	34	3615688		False	2006.0	F	1.7	/m/0gkxl2	Jennifer Lopez	36.0		['Drama', 'Thriller', 'Crime Fiction']	Bordertown		0
Elena Diaz	/m/0h32_57		['shoot', 'kill', 'work']	-32.753452	22.48948	29.415783	13	3615688		False	2006.0	F	1.65	/m/09k5jvk	Kate del Castillo	33.0		['Drama', 'Thriller', 'Crime Fiction']	Bordertown		0
Shirley Lyner	/m/0hgsdmx		['agree', 'get', 'guy']	1.0333833	1.7579147	6.075956	2	5420277		False	2007.0	F			Katherine Waterston	27.0		['Drama', 'Indie', 'Black comedy']	The Babysitters		0
Melissa Rowan	/m/0hgsdqt		['agree', 'worry', 'present']	38.511856	15.2386265	8.058435	26	5420277		False	2007.0	F			Lauren Birkell			['Drama', 'Indie', 'Black comedy']	The Babysitters		0
Michael Beltran	/m/0h1npfk		['voice', 'tell', 'try']	4.134893	-4.7990694	14.035265	2	5420277		False	2007.0	M	1.73	/m/025rpb0	John Leguizamo	43.0		['Drama', 'Indie', 'Black comedy']	The Babysitters		0
Gunnar	/m/0h2b553		['defeat', 'come', 'helping']	-38.058773	-3.931161	-2.1427777	32	28913522		False	2011.0	M	1.88	/m/02w7gg	Vinnie Jones	46.0		['Drama', 'Action/Adventure', 'Fantasy']	Cross		0
Erlik	/m/0h1nd1z		['lead', 'saw', 'city']	-33.26853	0.8799354	8.872404	28	28913522		False	2011.0	M	1.96	/m/0x67	Michael Clarke Duncan	53.0		['Drama', 'Action/Adventure', 'Fantasy']	Cross		0
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear		0
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear		0
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171026		False	1991.0	M	1.85	/m/03bkbh	Nick Nolte	50.0	182291969.0	['Drama', 'Thriller', 'Crime Fiction']	Cape Fear		0
Sam Bowden	/m/05nd8pj	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch']	26.127077	26.729614	-9.31594	15	171029		False	1962.0	M	1.905	/m/07bch9	Gregory Peck	45.0		['Drama', 'Black-and-white', 'Thriller']	Cape Fear		0
Arun Saxena	/m/0gyc_0d		['sentence', 'arrest', 'end']	6.6433787	-10.544266	-0.1551434	2	17687304		False	1994.0	M	1.8	/m/0dryh9k	Ajay Devgan	24.0		['Bollywood']	Dilwale		0
Preeti	/m/0h2wfzq		['drink', 'fall', 'live']	1.8688905	-46.319637	-7.354997	21	5008724		False	1979.0	F	1.68	/m/0dryh9k	Saira Banu	34.0		['Drama', 'World cinema', 'Family Film']	Purab Aur Paschim	['/m/0h73l8v']	1
Bharat	/m/0h55ggb		['fall', 'son', 'want']	20.328348	-21.113527	27.914646	0	5008724		False	1979.0	M	1.89		Manoj Kumar	41.0		['Drama', 'World cinema', 'Family Film']	Purab Aur Paschim	['/m/0dj2kkm', '/m/0gxr9lc']	1
Frank Lucas	/m/05kfx46	['driver']	['provide', 'realize', 'contend']	-16.946663	32.91565	-13.545003	9	5017604		False	2007.0	M	1.84	/m/0x67	Denzel Washington	52.0	266465037.0	['Drama', 'Crime Fiction', 'War film']	American Gangster		0
Cody Jarrett	/m/0h32fbz	['leader']	['suffer', 'drop', 'steal']	-35.428555	-7.1082726	22.45418	3	11445373		False	1949.0	M	1.651	/m/033tf_	James Cagney			['Drama', 'Black-and-white', 'Thriller']	White Heat	['/m/0h5b_ds']	1
Damien	/m/0j5fyjw		['share', 'attack', 'kill']	-17.781326	8.992056	14.923045	30	22907524		False	2008.0	M			Leigh Crocombe			['Drama', 'Action', 'Horror']	Colin		0
Rebecca 'Becky' Ann Leeman	/m/0gxmyx_		['sing', 'contrast', 'competition']	24.87814	15.216316	-29.71937	4	871658		False	1999.0	F	1.68	/m/0bfjm7	Denise Richards	28.0	10571408.0	['Comedy']	Drop Dead Gorgeous		0
Frankie	/m/0gy9xfv		['realize', 'accept', 'tell']	-1.2485017	-2.8526216	-41.36341	5	31232513		False	2012.0	F	1.65		Elizabeth Banks	38.0	12434778.0	['Drama', 'Coming of age']	People Like Us		0
Verna Carlson	/m/0h5b_ds		['produce', 'kill', 'cash']	-6.9934297	13.417078	23.468388	27	2702787		False	1947.0	F	1.6	/m/065b6q	Susan Hayward	29.0		['Drama', 'Black-and-white', 'Crime Fiction']	They Won't Believe Me	['/m/0gy988s']	1
Doug	/m/05srhgq		['reveal', 'conversation', 'marry']	42.855972	-6.7590876	-7.7201467	17	21918632		False	2009.0	M	1.73	/m/041rx	Justin Bartha	30.0	467483912.0	['Comedy', 'Buddy film', 'Screwball comedy']	The Hangover	['/m/0gxt29j', '/m/0ghg416', '/m/03lh10']	1
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	21918632		False	2009.0	M	1.85	/m/03bkbh	Bradley Cooper	34.0	467483912.0	['Comedy', 'Buddy film', 'Screwball comedy']	The Hangover		0
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	23295795		False	2011.0	M	1.85	/m/03bkbh	Bradley Cooper	36.0	581464305.0	['Comedy', 'Buddy film', 'Absurdism']	The Hangover: Part II		0
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	23295795		False	2011.0	M			Tanner Maguire	12.0	581464305.0	['Comedy', 'Buddy film', 'Absurdism']	The Hangover: Part II		0
Prakash	/m/0h6ykbr		['offer', 'cause', 'make']	-27.31887	3.1594305	-36.410168	8	23852142		False	1995.0	M		/m/0dryh9k	Sumeet Saigal			['Drama', 'Melodrama', 'Ensemble Film']	Sauda		0
Deepak	/m/0h6kmk4	['student']	['offer', 'kill', 'ask']	20.852423	-37.16031	0.42789018	6	23852142		False	1995.0	M		/m/0dryh9k	Vikas Bhalla	16.0		['Drama', 'Melodrama', 'Ensemble Film']	Sauda	['/m/0h88rgg']	1
Prabu	/m/0gz5c8g		['fall', 'ready', 'decide']	25.81116	4.9195485	-12.233079	23	6795118		False	1997.0	M	1.8	/m/029f2r	Ajith Kumar	26.0		['Drama']	Pagaivan		0
Uma Durairaj	/m/0j8pvrq		['fall', 'happen', 'abduct']	24.911522	5.5168667	-18.221231	23	6795118		False	1997.0	F		/m/0dryh9k	Anjala Zaveri	25.0		['Drama']	Pagaivan	['/m/0h8xv2b', '/m/02nw87f', '/m/0h5h44r', '/m/0jxwcbs']	1
Patti Mullen	/m/0h1ns2s		['sympathize', 'press', 'rely']	15.511309	-4.7337995	0.7259402	2	25625475		False	1985.0	F			Melissa Leo	25.0		['Drama']	Silent Witness		0
Anna Dunne	/m/0gz6x9j		['receive', 'tell', 'deal']	-13.381845	-33.808693	-7.040787	7	25625475		False	1985.0	F	1.626	/m/02ctzb	Valerie Bertinelli	25.0		['Drama']	Silent Witness		0
Young Will	/m/0b_vg1w		['care', 'protect', 'impale']	-9.809853	-16.857708	-1.409221	2	1393739		False	2005.0	M			Petr Ratimec		105316267.0	['Comedy', 'Thriller', 'Adventure']	The Brothers Grimm		0
Rose Lorkowski	/m/0bvypsw		['embarrass', 'ask', 'encounter']	6.569263	-39.84414	4.0430903	16	14142753		False	2008.0	F	1.63	/m/07hwkr	Amy Adams	33.0	15476862.0	['Drama', 'Comedy', 'Indie']	Sunshine Cleaning		0
David Collins	/m/02pslry		['rescue', 'son', 'father']	-23.956347	5.259156	-37.40918	8	25129766		False	2012.0	M			Gulliver McGrath	14.0	238727149.0	['Drama', 'Thriller', 'Horror']	Dark Shadows		0
Frank Warren	/m/0h2n0_d		['learn', 'lead', 'get']	-37.06335	7.2853703	14.068069	28	16676995		False	1991.0	M	1.85	/m/05l3g_	Rutger Hauer			['Drama', 'Action', 'Thriller']	Wedlock		0
Pvt. Philbrick	/m/0hnfx1l	['Private']	['become', 'discover', 'part']	-6.9305396	-0.57594645	-7.838062	2	20752962		False	1962.0	M			Robert Ball			['Comedy', 'Science Fiction', 'Alien Film']	Invasion of the Star Creatures		0
Trevor Gottitall	/m/0h_04n7	['kickboxer']	['taunt', 'use', 'demand']	-39.53816	-3.8113387	-11.5188875	32	2384098		False	1991.0	M			Trent Bushey			['Action', 'Chinese Movies', 'Martial Arts Film']	American Shaolin		0
Gao	/m/0h_04p1	['student']	['gain', 'make', 'beat']	22.741087	-37.87679	2.5924783	6	2384098		False	1991.0	M	1.727	/m/01xhh5	Daniel Dae Kim			['Action', 'Chinese Movies', 'Martial Arts Film']	American Shaolin		0
John Elder	/m/0gyfs2d		['get', 'unfriendly', 'brother']	13.614625	2.3004162	8.824712	2	5718787		False	1965.0	M	1.93	/m/063k3h	John Wayne	58.0		['Drama', 'Action/Adventure', 'Western']	The Sons of Katie Elder		0
David Langley	/m/0h5tfxy	['curator']	['hide', 'face', 'expect']	4.8569274	7.5087814	4.3565493	2	5079650		False	1997.0	M	1.7272		Peter MacNicol	43.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean		0
George Grierson	/m/0h5tfxq	['scholar', 'boss']	['dinner', 'bos', 'scholar']	1.8257488	12.599497	47.394867	22	5079650		False	1997.0	M	1.8		Harris Yulin	59.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean		0
George Grierson	/m/0h5tfxq	['scholar', 'boss']	['dinner', 'bos', 'scholar']	1.8257488	12.599497	47.394867	22	5079650		False	1997.0	M	1.8		Harris Yulin	59.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean		0
Brian	/m/0h772y_		['agree', 'support', 'convince']	-22.55912	24.450788	-14.522151	9	35795053		False	2011.0	M	1.75		Andrew McCarthy	48.0		['Comedy film', 'Musical', 'Buddy film']	The Brooklyn Brothers Beat the Best	['/m/0clf98r', '/m/02rl699']	1
Tucker	/m/0gxn3hz		['fail', 'tell', 'fear']	-21.17716	4.52394	-30.739988	8	26255812		False	2010.0	M	1.83		Alan Tudyk	38.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil		0
Dale	/m/0gxn3hw		['try', 'stop', 'free']	-21.28026	6.887546	-32.487015	8	26255812		False	2010.0	M	1.82		Tyler Labine	31.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil		0
Chad	/m/0gxn3j1		['throw', 'attempt', 'lead']	-14.098379	-4.3684015	-5.3283367	2	26255812		False	2010.0	M	1.7		Jesse Moss	26.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil		0
Allison	/m/0gxn3_8		['startle', 'talk', 'restrain']	-12.224741	-2.3046615	0.9430779	2	26255812		False	2010.0	F	1.75		Katie Bowden	21.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil	['/m/0h5m48w', '/m/08d8n2x', '/m/02nw9py']	1
Naomi	/m/0gxn3jd		['get', 'save', 'kill']	34.15047	5.830875	15.984564	18	26255812		False	2010.0	F			Christie Laing		4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil		0
Chuck	/m/0gxn3jp		['kill', 'shoot', 'leave']	-19.608849	24.378254	-23.667463	9	26255812		False	2010.0	M	1.79		Travis Nelson	19.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil	['/m/0h5pgx6', '/m/0h60yyn']	1
Chet	/m/0gvd8db		['hide', 'beat', 'reason']	-20.540974	23.920443	-18.829826	9	28370864		False	2011.0	M	1.68	/m/0b__fv3	Aziz Ansari	28.0	40000000.0	['Comedy', 'Action', 'Crime Fiction']	30 Minutes or Less	['/m/0h6z2_8', '/m/0h6msfy', '/m/0h4_56z']	1
Kate	/m/0gvd8dj		['manage', 'money', 'turn']	-21.061016	29.689665	-21.68838	9	28370864		False	2011.0	F	1.57	/m/04gfy7	Dilshad Vadsaria	25.0	40000000.0	['Comedy', 'Action', 'Crime Fiction']	30 Minutes or Less	['/m/0clqzjc', '/m/0jxwcbs', '/m/0h2rn3n', '/m/0cbzwch', '/m/0h36xtq']	1
Luke	/m/0gdjxpp	['reporter']	['get', 'come', 'manage']	20.903934	-2.1040225	32.277985	34	27463222		False	2010.0	M	1.87		Hayden Christensen	29.0		['Thriller', 'Horror', 'Mystery']	Vanishing on 7th Street		0
John Steele	/m/0g9hwg_		['suspect', 'know', 'vet']	42.404007	1.9928508	22.065771	18	24789475		False	1987.0	M	1.85	/m/041rx	Martin Kove	40.0	1327740.0	['Drama', 'Action', 'Thriller']	Steele Justice		0
Cindi Whitehall	/m/0h5v949		['reveal', 'spot', 'say']	22.86207	-24.39849	7.4867706	31	21029252		False	2009.0	F			Raquel Alessi	26.0	4591629.0	['Comedy', 'Teen', 'Buddy film']	Miss March		0
Young Tucker	/m/0h5v93y		['apologise', 'devise', 'tell']	13.781529	-1.0669249	5.5560045	2	21029252		False	2009.0	M			Remy Thorne	13.0	4591629.0	['Comedy', 'Teen', 'Buddy film']	Miss March		0
Bobby Ewing	/m/0h5hlq3		['figure', 'get', 'lose']	10.587559	1.1464106	10.019729	2	5175724		False	1996.0	M	1.87		Patrick Duffy	46.0		['Drama', 'Family Drama']	Dallas: J.R. Returns		0
Bobby Ewing	/m/0h5hlq3		['figure', 'get', 'lose']	10.587559	1.1464106	10.019729	2	30838779		False	2012.0	M	1.87		Patrick Duffy			['Drama']	Dallas		0
Col. Sam Daniels	/m/0h1t0c4	['Colonel']	['realize', 'arrest', 'confront']	-3.3808348	34.994102	8.975696	1	733927		False	1995.0	M	1.66	/m/041rx	Dustin Hoffman	57.0	189859560.0	['Drama', 'Action', 'Thriller']	Outbreak		0
Robby Keough	/m/0h1b9g8	['owner']	['make', 'save', 'team']	17.401096	33.00388	-15.1314125	10	733927		False	1995.0	F	1.73	/m/0xnvg	Rene Russo	41.0	189859560.0	['Drama', 'Action', 'Thriller']	Outbreak		0
John W. Burns	/m/0h1356r	['deputy']	['hide', 'appear', 'work']	-15.144211	34.059383	2.7091732	36	2165590		False	1962.0	M	1.75	/m/09kr66	Kirk Douglas	45.0		['Drama', 'Black-and-white', 'Action/Adventure']	Lonely are the Brave		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746975		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Creeps		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14362599		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Cactus Makes Perfect		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	11948988		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Baby Sitters' Jitters		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14736920		False	1946.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	The Three Troubledoers		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14734879		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Rusty Romeos		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738272		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Punchy Cowpunchers		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746962		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Husbands Beware		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14683800		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Guns a Poppin!		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14615533		False	1955.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Wham Bam Slam		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14470060		False	1959.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Sappy Bull Fighters		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14740084		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Corny Casanovas		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746807		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Fling in the Ring		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	9062834		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Dizzy Detectives		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14502344		False	1942.0	M	1.62		Moe Howard			['Black-and-white', 'Short Film']	Matri-Phony		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14740284		False	1952.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Cuckoo on a Choo Choo		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738854		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Love at First Bite		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14570274		False	1944.0	M	1.62		Moe Howard			['Black-and-white', 'Short Film', 'Propaganda film']	The Yoke's on Me		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737193		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Out West		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	7987214		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Muscle Up a Little Closer		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	12982972		False	1955.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Bedlam in Paradise		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	13730827		False	1948.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Mummy's Dummies		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738953		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Three Hams on Rye		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	3997811		False	1962.0	M	1.62		Moe Howard			['Comedy', 'Adventure', 'Science Fiction']	The Three Stooges in Orbit		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14437776		False	1941.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	All the World's a Stooge		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746644		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Bubble Trouble		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737134		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Fright Night		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14526240		False	1943.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Higher Than a Kite		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737096		False	1946.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Three Little Pirates		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14739468		False	1951.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Scrambled Brains		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14747011		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	For Crimin' Out Loud		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738217		False	1949.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Vagabond Loafers		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	2567937		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Brideless Groom		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14734214		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Scheming Schemers		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	27381879		False	1949.0	M	1.62		Moe Howard			['Short Film']	Jerks of All Trades		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	6435577		False	1935.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Uncivil Warriors		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	7987285		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Hoofs and Goofs		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	5982397		False	1943.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	I Can Hardly Wait		0
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14555886		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Busy Buddies		0
