	movie_id	subject	object
0	195388	Luisa	Jano
1	195388	Jano	Luisa
2	231486	Melanie Smooter	Andrew
3	231486	Melanie Smooter	Jake Perry
4	231486	Jake Perry	Melanie Smooter
5	231486	Andrew	Melanie Smooter
6	13702809	Henry Miles	Sarah
7	13702809	Sarah	Henry Miles
8	568780	Bart	Gertrude
9	2038132	Nisha	Rajesh
10	31649395	Javier Herrera	María
11	2804704	Gerald O’Hara	Scarlett O'Hara
12	24750472	Pappi	Tanu
13	24750472	Tanu	Pappi
14	10142267	Warner Baxter	Hester
15	11625173	Judy	David
16	11625173	David	Judy
17	4015886	Lun Tha	Tom
18	4015886	Mongkut	Lady Thiang
19	4015886	Mongkut	Tuptim
20	4015886	Tuptim	Tom
21	4015886	Mongkut	Lun Tha
22	4015886	Tom	Lun Tha
23	4015886	Mongkut	Tom
24	7364229	Konstantin Levin	Kitty Scherbatsky
25	7364229	Alexei Karenin	Anna Karenina
26	7364229	Kitty Scherbatsky	Konstantin Levin
27	7364229	Anna Karenina	Alexei Karenin
28	3875767	Edward Humphrey Vanderman III	Penelope Wilhern
29	3875767	Penelope Wilhern	Edward Humphrey Vanderman III
30	1191380	Oscar Wilde	Constance Lloyd
31	1191380	Constance Lloyd	Oscar Wilde
32	13007900	Julie Delpy	Barbara
33	13007900	Nathaniel Branden	Barbara
34	13007900	Barbara	Frank O'Connor
35	13007900	Nathaniel Branden	Frank O'Connor
36	13007900	Barbara	Nathaniel Branden
37	13007900	Julie Delpy	Frank O'Connor
38	13007900	Peter Fonda	Frank O'Connor
39	1571083	David Smith	Ann
40	1571083	Ann	David Smith
41	1511944	Julien	Sophie
42	1105278	Anna	Joseph
43	1105278	Anna	Clara
44	1105278	Clifford	Clara
45	1105278	Anna	Sean
46	1105278	Clara	Clifford
47	6231868	Rhys Williams	Elizabeth
48	6231868	Elizabeth	Rhys Williams
49	277148	Michael O'Neil	Kimberly Wallace
50	277148	Kimberly Wallace	Michael O'Neil
51	6146523	Karthik	Padhu
52	6146523	Padhu	Karthik
53	6000210	Gabrielle	Jean Harvey
54	6000210	Jean Harvey	Gabrielle
55	27484718	Rajan	Radha
56	3966684	William Heelis	Beatrix Potter
57	3966684	Beatrix Potter	William Heelis
58	1190115	Cecilia	Carlos
59	1190115	Carlos	Cecilia
60	26693888	Hari	Akhila
61	26693888	Akhila	Hari
62	3253210	Anna	Danny
63	3253210	Danny	Anna
64	2864621	Bill	Donna
65	2864621	Donna	Bill
66	2864621	Donna	Michael Newman
67	2864621	Michael Newman	Donna
68	167724	Flipper Purify	Vera
69	167724	Vera	Flipper Purify
70	167724	Drew	Flipper Purify
71	167724	Cyrus	Drew
72	167724	Flipper Purify	Drew
73	8658217	Upen	Charu
74	8658217	Charu	Upen
75	18372339	Amrish Kaul	Sudha
76	18372339	Sudha	Amrish Kaul
77	3781605	Megan Davis	Gavin Gordon
78	10992573	Missie	Willie
79	8630196	Gehna	Shakti Thakur
80	8630196	Shakti Thakur	Gehna
81	11713761	Kailash Nath	Savitri
82	23654077	Nambeeshan	Pothuval
83	15614260	Jenny Perotti	Brad
84	15614260	Brad	Jenny Perotti
85	1191975	Uncle Bob	Mickey Gilley
86	1191975	Bud	Uncle Bob
87	1191975	Bud	Mickey Gilley
88	1191975	Sissy	Mickey Gilley
89	1191975	Sissy	Uncle Bob
90	6791551	Gino	Louise
91	6791551	Louise	Gino
92	710906	Harry	Shelly DeVoto
93	27375785	Sarah	Murray
94	27375785	Murray	Sarah
95	846354	Mimi	Oscar
96	2586953	Shekhar	Koel
97	2586953	Koel	Shekhar
98	2586953	Girish	Lalita
99	2586953	Shekhar	Gurcharan
100	10628838	Muthu	Roja Selvamani
101	10628838	Roja Selvamani	Muthu
102	2467561	Tony Roberts	Dick
103	2467561	Dick	Linda Christie
104	2467561	Linda Christie	Dick
105	26272116	Henry	Julie
106	26272116	Julie	Henry
107	18716845	Melvin	Harry Flack
108	18716845	Judy Schneider	Harry Flack
109	3033993	George Austen	Langlois
110	3033993	Langlois	George Austen
111	22824908	Sheila	Troy
112	1370104	Shiza	Zinka
113	10735921	Man Bahadur	Bal Bahadur
114	10735921	Bal Bahadur	Man Bahadur
115	1138675	Alexander the Great	Roxana
116	1138675	Roxana	Alexander the Great
117	1138675	Hephaestion	Roxana
118	770348	Hank Marshall	Carly
119	770348	Carly	Hank Marshall
120	3175656	Martyn	Anna —
121	3175656	Anna —	Martyn
122	1795394	Edward L. McKeever	Laura Partridge
123	1795394	Laura Partridge	Edward L. McKeever
124	8887331	Riam	Joi
125	26245382	Vanisri	Anand
126	26245382	Anand	Vanisri
127	2920843	Ellen Wagstaff Arden	Nick Arden
128	1764812	Ronit	Isha
129	1764812	Isha	Ronit
130	24028744	Keith	Cleo
131	2487720	Ed	Janey
132	2487720	Janey	Ed
133	7192710	Kobbarikayala Subba Rayudu	Annapoornamma
134	7192710	Annapoornamma	Kobbarikayala Subba Rayudu
135	2157292	Charles Sackville	Elizabeth Barry
136	2032436	Ira Parks	Glenda
137	29123823	Tom	Maggie
138	29123823	Maggie	Tom
139	27226283	Elizabeth Kent	Alan Wythe
140	27226283	Alan Wythe	Elizabeth Kent
141	7769076	Willis Panama	Bettina
142	7769076	Chauncey Gump	Bettina
143	7769076	Lola	Bettina
144	7769076	Chauncey Gump	Lola
145	7769076	Willis Panama	Lola
146	16001951	Rafe Covington	J.T. Anne
147	16001951	Anne Rodney	J.T. Anne
148	16001951	J.T. Anne	Anne Rodney
149	31949943	Marrubi	Paquita
150	31949943	Clemente	Paquita
151	12006505	Caroline Grannard	Greg
152	899442	Regina	Charles Lampert
153	899442	Charles Lampert	Regina
154	3371111	Harold Meadows	Mary Buckingham
155	3371111	Mary Buckingham	Harold Meadows
156	616554	Jim Blandings	Muriel
157	616554	Muriel	Jim Blandings
158	28365073	Dudley Chalfont	Diana Whitcombe
