Wikipedia ID	Subject	Object	Romance	Subject freebase character ID	Object freebase character ID
12558882	Vishwam	Rukmani	False	/m/0h8n2ck	/m/0h4_vl3
12558882	Rukmani	Vishwam	False	/m/0h4_vl3	/m/0h8n2ck
2549266	Detective Terry Hoitz	Francine	False	/m/087vvp3	
2549266	Francine	Detective Terry Hoitz	False		/m/087vvp3
61527	Patrick O'Leary	Molly	False		
61527	Molly	Patrick O'Leary	False		
14652733	John Hamilton	Linda	False	/m/0h5c7x8	
20783444	Xiaohong	Jianjun	False		
20783444	Jianjun	Xiaohong	False		
24742937	Dean	Dana	False		
1388443	Alice	Aldo Bonnard	False		
1388443	Aldo Bonnard	Alice	False		
5420277	Gail Beltran	Michael Beltran	False	/m/0h1jdzq	/m/0h1npfk
5420277	Michael Beltran	Gail Beltran	False	/m/0h1npfk	/m/0h1jdzq
29952131	Amit Kumar Singh	Poonam	False		
29952131	Rajeshwari	Poonam	False		
29952131	Poonam	Amit Kumar Singh	False		
171026	Leigh Bowden	Sam Bowden	False	/m/05lxyf2	/m/05nd8pj
171026	Sam Bowden	Leigh Bowden	False	/m/05nd8pj	/m/05lxyf2
171026	Max Cady	Leigh Bowden	False	/m/06rrdy	/m/05lxyf2
19769765	Hannah	Jake Cabrera	False		
19769765	Jake Cabrera	Hannah	False		
5008724	Sharma	Rita	False		
5008724	Ganga	Rita	False		
11445373	Cody Jarrett	Verna	False	/m/0h32fbz	
32359190	Emily	Leo Fitzjohn	False		
32359190	Leo Fitzjohn	Emily	False		
14637197	Bimbo	Maggie	False		
2702787	Larry Ballentine	Greta	False		
2702787	Greta	Larry Ballentine	False		
21918632	Doug	Tracy	False	/m/05srhgq	/m/0h33tq5
35752295	Rajeev	Renuka	False		
3654603	Jurota Yamane	Taka	False		
3654603	Taka	Jurota Yamane	False		
6060651	Dave	Michael Haney	False		
6060651	Michael Haney	Dave	False		
5079650	Alison Langley	David Langley	False	/m/0h5tfz7	/m/0h5tfxy
5079650	David Langley	Alison Langley	False	/m/0h5tfxy	/m/0h5tfz7
32358265	Michelle	Brendan	False		
32358265	Brendan	Michelle	False		
8988995	Kanakayya	Seetha	False		/m/0h73041
8988995	Seetha	Kanakayya	False	/m/0h73041	
21076018	Jaimey	Jack Cooper	False		
21076018	Jack Cooper	Jaimey	False		
25807540	Lou Lorraine	Jim	False		
25807540	Jim	Lou Lorraine	False		
872386	Louis Dega	Papillon	False	/m/0cc27my	
10320328	Mary Page Keller	Sue	False		
17215446	Julian Blair	Helen	False		
21127928	Dina Hunter	Jerry Hunter	False	/m/0hp1p8y	/m/0hp1pbl
