	movie_id	character	title	agent_verbs	patient_verbs	attributes	religion	age	Gender
0	231486	Andrew		['sees', 'rebuffs', 'arrives', 'find', 'accepts', 'tells', 'wishes', 'leaves']	['attacking', 'tells', 'told']	['mother', 'son']			
1	231486	Melanie Smooter	fashion designer	['learns', 'punches', 'retaliates', 'grew', 'changed', 'says', 'visit', 'finds', 'visits', 'tries', 'returns', 'demands', 'embarrasses', 'father', 'explains', 'tells', 'realizes', 'goes', 'leaving', 'gets', 'wakes', 'got', 'surprised', 'forgot']	['sign', 'wanted', 'tell', 'see', 'attacking', 'apologize', 'rebuffs', 'sees', 'tells', 'sneak']	['son', 'other', 'friends', 'mother', 'cousin']			F
2	231486	Jake Perry		['person', 'become', 'becomes', 'says', 'wishes', 'sign', 'shows', 'takes', 'returned', 'gone', 'meets', 'tells', 'pushes', 'made']	['try', 'loves', 'finds']	['following', 'ex-wife', 'mother', 'irresponsibility', 'baby']			M
3	3875767	Edward Humphrey Vanderman III		['offering', 'recruited', 'decides', 'pay']	['marry', 'go', 'coerces', 'team']	['father', 'flight']			
4	3875767	Penelope Wilhern		['believes', 'marry', 'backs', 'ends', 'decides', 'woman', 'marries', 'reveals', 'spends', 'caught', 'inspired', 'becomes']	['marry', 'kisses', 'pushing', 'born', 'exploit', 'loved', 'flee']	['exasperated', 'life', 'courage', 'wonder', 'parents', 'Halloween', 'mother', 'photograph', 'heartbroken']			F
5	3875767	Penelope Wilhern		['believes', 'marry', 'backs', 'ends', 'decides', 'woman', 'marries', 'reveals', 'spends', 'caught', 'inspired', 'becomes']	['marry', 'kisses', 'pushing', 'born', 'exploit', 'loved', 'flee']	['exasperated', 'life', 'courage', 'wonder', 'parents', 'Halloween', 'mother', 'photograph', 'heartbroken']			F
6	1571083	Ann		['go', 'has', 'struggles', 'begin', 'yells', 'decide', 'thinks', 'mention', 'planning', 'attacks', 'discovers', 'asks', 'stages', 'become', 'announces', 'meets']	['following', 'take']				F
7	1571083	David Smith		['spends', 'barges', 'rented', 'faints', 'shows', 'see', 'drops', 'planning', 'arranges', 'takes', 'offers']	['beating', 'tells', 'help', 'kicks', 'following', 'asks']	['friend', 'remarry']			
8	1511944	Julien		['reunite', 'disengages', 'decide', 'gives', 'meet', 'wants', 'tells', 'admits', 'returns']	['remind', 'married', 'marry']	['boy', 'successful', 'anniversary', 'wedding']			
9	277148	Kimberly Wallace	singer	['use', 'singer', 'asks']	['loves', 'taking', 'marries', 'meets']			20 - year - old	F
10	277148	Michael O'Neil		['gets', 'marry', 'marries', 'jealous', 'chases', 'loves', 'holds', 'gives', 'tells', 'starts']	['tells', 'kissed', 'taking', 'tell']	['intent']			
11	3253210	Danny	artist	['chasing', 'stops', 'tells', 'confesses', 'says', 'moves', 'decides', 'gets', 'finds', 'sees']	['lost', 'chases', 'loves']	['home', 'old', 'apartment', 'father']		5 - year - old	M
12	3253210	Anna		['says', 'rushes', 'leaves', 'going', 'rides', 'begs', 'chases', 'rejects', 'becomes']	['sees', 'born', 'see', 'tells', 'get']	['sister', 'engagement', 'family']			
13	23654077	Nambeeshan	lawyer	['gone', 'find', 'started']		['lawyer']			
14	15614260	Brad		['comforted']	['marries']				M
15	15614260	Jenny Perotti		['wakes', 'hearted', 'upset', 'rekindled', 'close', 'marries', 'forced']	['comforted', 'saw', 'pull', 'helps', 'dance', 'caused']				F
16	27375785	Sarah	owner	['saying', 'says', 'believe', 'calls', 'finds', 'told', 'end', 'falls']	['tell']	['flat']			
17	27375785	Murray		['sets', 'vomits', 'making', 'get', 'gives', 'see', 'tells', 'hidden', 'admits', 'makes']					
18	10628838	Roja Selvamani			['marries']				
19	10628838	Muthu		['leaves', 'handed', 'people', 'come', 'goes', 'tells', 'go', 'love', 'forget', 'want', 'caught', 'comes', 'refused', 'thinks', 'finds']	['meets', 'marry']	['songs']			
20	2467561	Dick		['confides', 'comes', 'catching', 'expresses']		['husband']			
21	2467561	Linda Christie		['chasing', 'runs']	['thinks']				
22	2467561	Tony Roberts							
23	22824908	Sheila		['first', 'confesses', 'invites', 'makes']	['lectures', 'finds', 'arrive']	['relationship', 'ex-husband']			
24	1795394	Laura Partridge	lobbyist	['lobbyist', 'discovers', 'forged', 'drives', 'nothing']	['neutralize', 'marries']	['conscientious', 'stockholder']			
25	1795394	Edward L. McKeever	president founder chairman	['takes', 'resigning', 'uses']	['persuade', 'replacing', 'give', 'go']	['chairman', 'president', 'founder']			
26	2920843	Ellen Wagstaff Arden		['alive', 'confronted']		['time']			
27	2032436	Ira Parks	district attorney Attorney General	['becoming', 'discovers', 'end', 'upset', 'gives', 'decide', 'frustrated']	['take', 'hurt', 'stealing']	['attention', 'wife', 'house', 'jealous']			
28	27226283	Elizabeth Kent			['calls', 'save', 'divorce', 'accompanies']	['return']			
29	27226283	Alan Wythe		['agrees', 'meets', 'accompanies', 'marrying', 'interested']	['forgot', 'meet', 'forget', 'divorce', 'convince']	['women', 'playboy', 'return']			
30	3371111	Harold Meadows	tailor	['whisks', 'locket', 'figures', 'carries', 'insulted', 'sees', 'takes', 'outraged', 'writes', 'relaxing', 'gives', 'tells', 'rescues', 'helps']	['have', 'meet', 'gets', 'informs', 'propose']	['dash', 'depressed', 'deceptions', 'book']			
31	3371111	Mary Buckingham		['hide', 'forgives', 'agrees', 'rejects', 'detours', 'marry', 'runs']	['marry', 'announcing', 'cause', 'tells', 'whisks', 'swerve']	['flustered']			
32	1273396	Christine		['decide']		['shots', 'wife']			
33	1273396	Tom asks Drew	executive	['informs', 'visits', 'calls', 'doing', 'asks', 'takes', 'overdoes', 'make', 'forces', 'writes', 'explains', 'buys', 'encourages', 'promises', 'decide', 'has', 'accepts', 'introduced', 'returns']	['asks', 'requiring', 'leave', 'wear', 'spend']	['room', 'assistant', 'presence', 'lawyer']			
34	2217354	Francis		['confronts', 'makes', 'made', 'argues', 'investor', 'learns', 'threatens', 'having']	['informs', 'get', 'tell', 'causes', 'takes', 'tells']	['indecision', 'scenes', 'arrogance', 'story']			
35	20903266	Raja		['begins', 'overwhelmed', 'sends', 'follow', 'fooled', 'handle', 'likes']	['marry', 'befriended', 'run']	['education', 'aunt', 'poor']			
36	20903266	Sulaiman		['befriended', 'tells']					
37	20903266	Nisha Sharma		['wants']	['marry', 'rescue', 'contact', 'marry', 'winning', 'told']	['his', 'father', 'house', 'true']			F
38	27944820	Abhay Suri		['falls', 'starts', 'gets']	['thrown']				M
39	1565181	Estelle	owner	['revealed']	['artists']	['owner']			F
40	1565181	Carlos		['revealed']	['artists']	['husband']			
41	1934035	John		['see', 'breaks', 'decides', 'reminds', 'did', 'agrees', 'convinces', 'call', 'told', 'says', 'enjoying', 'passes', 'join', 'goes', 'want', 'reignite', 'put', 'drinks', 'cutting']	['do', 'encouraged', 'convinces', 'make', 'fish', 'go', 'telling', 'tell']	['video', 'house', 'statue', 'father', 'motor', 'spending']			
42	11646548	Rogers Woodruff	publisher		['learns']	['wife', 'publisher']			
43	11646548	Claire			['throw']	['maturity']			
44	27106935	Salvador		['agrees', 'reveals', 'have', 'runs', 'uptight']	['help']	['repressed', 'dispassionate']			
45	27106935	Olivia		['leaves', 'living', 'jealous']	['married']	['wife', 'inhibited']			
46	21764056	Peter				['friend', 'circle', 'confrontation']			
47	21764056	Andre	musician		['married']	['musician', 'acquaintance']			M
48	21764056	Colleen				['woman']			
49	15281528	Tony Woodward		['passed', 'proposes', 'tells', 'loses', 'finds']	['embraces', 'marry', 'married']	['party', 'whereabouts', 'lifestyle', 'friend']			
50	15281528	Vera Barton		['find', 'embraces', 'breaks', 'decides']					
51	14876301	Elvira Kent		['pretends', 'hopes']	['find', 'ruse', 'take']	['instructions', 'lover', 'real', 'willingness']			
52	14876301	Michael		['hires', 'suspicious', 'sneaking']		['husband']			
53	22154516	Roderick				['her', 'condescension']			
54	22154516	Chris Messina							
55	22154516	Tom		['confesses']		['Montreal']			
56	22154516	Verona De Tessant		['see', 'tells', 'fly', 'picked', 'bring', 'visit', 'leave', 'agrees', 'spends', 'happy', 'spend']	['talk', 'found', 'believe', 'tells', 'get']	['home', 'boss', 'sister', 'request', 'pregnancy']			F
57	22154516	Burt Farlander		['fly', 'visit', 'displays', 'receives', 'takes', 'happy', 'spend', 'tries', 'bring']	['found', 'disturbed', 'comfort', 'persuade']	['parents', 'friend']			M
58	4339865	Max de Mirecourt	writer	['imagined', 'states', 'forgive']		['embarrassing', 'floor', 'novel', 'number', 'mansion', 'wing', 'estate']			
59	4339865	Lucie		['fall', 'furious', 'forgive']	['enraged']	['wife']			
60	24551073	Duffy Bergman	cartoonist	['decides', 'happy', 'explains', 'agrees', 'encourages', 'speaks', 'becomes']	['have', 'having', 'stay']				M
61	24551073	Meg Lloyd	chef	['sees', 'decides']	['impregnate']				
62	1960065	Robert Windemere		['pays', 'arrive', 'begs', 'startled']	['see']	['wife']			
63	1960065	Erlynne		['claims', 'finds', 'reveals', 'accepts', 'mother', 'found']	['pays', 'leave']				
64	18017481	Rene	chef	['follows', 'accepts', 'tells', 'does', 'charmed', 'chef', 'prepares', 'discovers', 'gets', 'waits', 'delivered']	['finds', 'calls', 'meets']	['impetuous', 'suit', 'Frenchman', 'delighted', 'seeing']			
65	18017481	Lady Malverton	chef						
66	21385847	Doug		['chased']	['married', 'despises']	['cheating', 'husband']			
67	21385847	George Murray		['talk', 'gets', 'finds', 'wishes', 'wakes']		['friend']			
68	21385847	Jane Gardner		['dumps', 'married', 'meets', 'figures', 'bring']	['go', 'get', 'wants', 'met', 'find', 'tell']	['wedding', 'friend']			
69	14461347	Colin		['married']	['tells', 'marry', 'informs', 'know']	['grandmother', 'family', 'her', 'named']			M
70	14461347	Bill Clinton							
71	14461347	Hannah		['replies', 'focuses', 'announces', 'too', 'turns', 'friends', 'tells', 'decides', 'kisses', 'asks', 'informs', 'rushes', 'leaves']	['loves', 'stop', 'confront', 'married', 'takes']	['party', 'watching']			F
72	14461347	Monica		['replies']		['date', 'roommate']			
73	34129784	Jeff Sherman	sculptor Reporter lawyer	['arrested', 'starts', 'confess', 'gets', 'calls', 'persuades', 'offers', 'chases', 'follows', 'pretends', 'acts']	['sculptor']	['studio']			M
74	34129784	Edward Arnold							
75	34129784	Judson M. Blair	publisher	['becomes', 'tries', 'offered', 'gives', 'arrested']		['burden', 'furious']			
76	34129784	Adele				['wife']			
77	1474328	Dean Kansky Jonathan		['wandering', 'party', 'returns', 'suggests', 'comes', 'follow', 'takes', 'satisfied', 'teaches', 'wrote', 'meet']	['married', 'asks', 'write', 'bring']	['friend', 'smitten']			
78	1474328	Halley Buchanan		['invites']					F
79	23561477	Jim	vice-president	['purchases', 'learns', 'provided', 'decides']	['discovers', 'urges', 'stay']	['friends', 'schemes', 'vice-president', 'husband', 'time']			
80	23561477	Emily Hefferen		['adds', 'finds', 'discovers', 'realizes', 'resigns', 'returns', 'describes']					
81	23561477	Robert Hart	attorney	['expresses']	['visits', 'file']				
82	23561477	Rita Kirby							
83	113464	Hannah	actress	['welcomes', 'serves']		['children', 'parents', 'objections', 'husband', 'classes', 'sisters', 'details', 'sister']			F
84	25565399	Bill Chandler	reporter writer	['announces', 'ingratiate', 'fails']	['suspects', 'get', 'expose']	['photograph', 'demading']			
85	25565399	Gladys Benton		['threaten', 'realize', 'tells', 'arrives']	['learn', 'expose', 'marry', 'comply']				F
86	15644478	Beth Cooper		['crashes', 'leaves', 'arrive', 'gives', 'gave', 'decides', 'says']	['drive', 'invites', 'asking']	['car', 'key', 'soldier', 'Yaris', 'routine', 'driver']		37 years old	F
87	15644478	Denis Cooverman		['realize', 'promises', 'invites', 'puts', 'go', 'informs', 'undressing']	['tells', 'join', 'challenges', 'beat', 'told']	['house', 'father']			M
88	21859735	Katherine	photographer	['photographer']		['friend']			
89	21859735	Patrick		['separated']		['husband']			
90	21859735	Carol				['wife']			
91	314775	Hiroko	coach			['beautiful', 'family']			
92	314775	Jack Elliot	baseball player	['sees', 'player', 'becomes', 'goes', 'knocks', 'runs', 'return', 'gets', 'asks', 'fouls', 'takes', 'develops']	['suspended', 'married']	['enthusiasm', 'reinvigorated', 'attitude']			M
93	24878469	Beth Goodwin		['overseas']	['advises', 'brings', 'give', 'leaving']	['return', 'friend', 'husband', 'children', 'heartbroken', 'night']			
94	24878469	Peter		['did']		['husband']			
95	2848051	Jack Singer		['realizes', 'able', 'discovers', 'borrows', 'goes', 'tries']	['married', 'find', 'get', 'keep', 'overcome']				M
96	2848051	Betsy		['ruins', 'decides']	['sees', 'get', 'married']	['girlfriend']			F
97	2997355	Muriel		['wants', 'throws', 'gets', 'demands']	['causes', 'take', 'know', 'fed', 'remarried']	['wife']			
98	2997355	Yvonne Biasi	Waitress taxi driver	['leaves', 'become', 'run', 'get', 'buys', 'spend', 'moving']	['meets', 'gave']				F
99	2997355	Eddie Biasi	taxi driver			['husband']			M
100	2997355	Charlie Lang	Policeman	['end', 'treating', 'have', 'run', 'becomes', 'mind', 'meets', 'spend', 'moving', 'get', 'begin', 'won', 'returns']	['costing', 'wounded']	['unwillingness', 'name', 'donations']			M
101	32717999	Porky		['tries', 'runs', 'saying', 'wakes', 'dreams', 'do']	['leave', 'harassed', 'shown', 'help', 'sees', 'causing']	['weight', 'kids']			
102	32717999	Petunia		['yells', 'proceeds', 'potato', 'goes']	['answer', 'run', 'leaving', 'shut']	['confused', 'dazed', 'house', 'treatment']			
103	1468099	Sara Moore		['offers', 'kicks']	['serve', 'tipped', 'serving', 're-serve']				F
104	1468099	Kate				['mistress']			F
105	1468099	Ray	boss	['ridiculing', 'hears', 'gives']	['calls', 'inform']				
106	29000018	Clyde	chef	['sets']		['wife', 'eager']			M
107	29000018	Lucy		['learn']		['co-worker']			F
108	3212842	Nikki		['marry', 'starts', 'different', 'gets', 'thinks', 'takes', 'interrupts', 'approaching', 'falls']	['stop', 'takes', 'meets', 'tells']	['cousin']			
109	3212842	Neal		['comes', 'takes', 'proposes', 'wants', 'date', 'tells', 'different', 'returns', 'leaves', 'raped']	['interrupts', 'know', 'spend', 'dumps', 'takes']	['getting', 'married']			
110	1091346	Marlon	driver	['told', 'move', 'cares', 'accepted', 'turns']	['preoccupied', 'visit', 'take']	['telling', 'friend', 'jubilant']			M
111	3531556	Van Stanhope	publisher	['have', 'likely', 'changes', 'get', 'secretive', 'tells', 'refuses', 'love', 'plans', 'returns']	['buy', 'have', 'trusts']	['secretary', 'mother']			
112	3790446	Adelina		['make', 'supports']	['incarcerated']	['name']			
113	23239530	Simon Joel Edgerton		['profeses']		['wife']			
114	14355866	Polly		['returns']		['wife']			
115	14355866	William Powell							
116	22762373	Mathi		['lies', 'works']		['his']			
117	14716766	Ladislaus Walichek							
118	24608768	Mary Crawford	student	['takes', 'asks']	['wants', 'marry']	['mom']			F
119	24608768	Andy Schmidt		['has', 'making', 'proceeds', 'gets', 'tries', 'obnoxious', 'manage']	['marries', 'make']				M
120	1107052	Micki	lawyer judge	['judge']		['lawyer']			F
121	1107052	Rob Salinger	reporter	['reconciles', 'stunned', 'follows', 'wants', 'becomes']	['ban']	['shot']			M
122	3154528	Darla			['married']				F
123	3154528	Clark				['workplace']			M
124	2025985	Daniel Vargas							
125	2025985	Lois Vargas							
126	30860806	Bindiya		['has', 'dominating']	['marries']	['cousin']			F
127	30860806	Anchal			['marries', 'possessive']	['friend']			
128	30860806	Amar		['marries']		['bachelors']			
129	30860806	Prem				['bachelors', 'husband']			M
130	30860806	Geeta		['religious']	['marries']				F
131	23920659	Sandy		['fall', 'pleads', 'saved', 'finds']	['loves']	['engagement']			
132	23920659	Aarush		['claiming', 'stilling', 'decides', 'leaves', 'fall', 'goes', 'decide', 'go', 'meet']	['jinxed', 'commit', 'saved', 'married', 'get']	['answers', 'way', 'horror', 'changes']			M
133	23920659	Hetal		['live', 'decide']	['get']	['father', 'sight', 'wife']			
134	23920659	Batuk Patel		['starts', 'shows']	['keep']				M
135	23920659	Bob		['decide', 'go', 'owns', 'live', 'lie']	['get', 'married']	['sight', 'friend']			
136	3077087	Joanne Larson Wedman							
137	3077087	Claudia Larson		['understand']	['informs']	['sister', 'brother']			F
138	3654363	Daphne		['returns']	['watch']	['forgiveness']			
139	17475674	Melinda Winifred Waine Tentrees							
140	17475674	Robert Tentrees							
141	18037052	Shastri		['roommate']	['married']				
142	18037052	Abhilasha		['had']					
143	13345732	Reginald Denny							
144	13345732	Sylvia Lockwood	secretary	['accepts', 'husband', 'continue', 'play', 'arrive']		['room']			
145	13345732	Donald				['fiancé', 'confession']			
146	2021400	Trish Piedmont		['rushes', 'found', 'suggests', 'waiting']	['accuses', 'resists', 'married', 'tell']	['daughter', 'her', 'relationship', 'date']			
147	2021400	Andy Stitzer	floor manager manager	['seem', 'decides', 'runs', 'grows', 'accuses', 'declares', 'admits', 'starts', 'sort', 'leaves', 'agrees', 'reluctant', 'chases', 'begins', 'returns', 'resists', 'discovers', 'lands', 'draws', 'tries', 'makes', 'leaving', 'lose', 'sobered', 'sell']	['join', 'ask', 'fill', 'tell', 'convince', 'married', 'promotes', 'form', 'open', 'invite', 'advises']	['co-workers', 'hiring', 'salesmanship', 'action', 'status', 'reluctance']			M
148	20869430	Cécile Coste	dealer representative recorder	['accepts', 'is', 'worried', 'drops', 'has', 'arrives', 'shown', 'finds', 'asks', 'sees', 'comes', 'notices', 'reached', 'tells', 'confronts', 'goes', 'having']	['confront', 'check', 'enter', 'asks', 'tells']	['dealer', 'all', 'notes']			
149	20869430	Pascal Manise	policeman Police Inspector drug dealer	['beater', 'talking', 'poses', 'it', 'reveals', 'finds', 'asks', 'notices', 'tells', 'goes', 'arrest', 'manages', 'drinking', 'walking', 'outside', 'shows', 'tailing', 'beats', 'close', 'conclude']	['reached', 'asks', 'lose', 'drop', 'shake']	['place']			
150	20869430	Agnès		['sick', 'congratulates', 'worried', 'faints', 'one', 'asks']	['picks', 'addicted']	['wife', 'dealer', 'story']			
