	movie_id	character	agent_verbs	patient_verbs	attributes	title	religion	age	death	children
22290	1343628	Italia	['heartbroken', 'interprets', 'becomes', 'offers', 'tells']	['drive', 'let', 'deliver']	['shoe', 'woman', 'screams', 'unaware']					
22291	1343628	Timoteo	['refers', 'goes', 'entered', 'offers', 'looks', 'encounters', 'takes', 'marries', 'proceeds', 'leaves', 'gather', 'sitting', 'shopping', 'gets']	['drive', 'see', 'operate']	['surgeon', 'inebriated', 'relieved', 'desperate', 'hesitation']	surgeon				
22292	1343628	Elsa	['pregnant']	['confront']	['wife']					
22293	1343628	Angela			['daughter']					
22294	7052375	Rima	['steals', 'grandfather', 'told', 'travel', 'saved', 'overhears', 'takes', 'begins', 'done', 'forces', 'come', 'confused']	['meets', 'kill', 'help', 'escapes']	['flower']					
22295	7052375	Nuflo	['tries', 'tells', 'warns']	['warn', 'escapes']	['reluctance', 'grandfather']					
22296	7052375	Abel	['follows', 'able', 'decides', 'escapes', 'warns', 'realizes', 'asleep', 'tells', 'takes', 'befriends', 'meets', 'agrees', 'remembers', 'manages', 'travel', 'ignores', 'awakens']	['tells', 'use', 'walk', 'takes', 'drown', 'wishes', 'named', 'go']						
22297	7052375	Runi	['agreed', 'wishes']	['tells']	['chief', 'son']					
22298	7052375	Riolama		['remembers', 'shows']	['her']					
22299	7207496	Lawrence Sinton	['has', 'fallen']	['blinded']						
22300	7207496	Hilda Nevers	['fallen']	['substituted', 'united']		nurse				
22301	7207496	Evelyn Wentworth		['engaged', 'free', 'continue']						
22302	7207496	Kitchell		['impressed']						
22303	6809632	Thilothama	['finds', 'sister']							
22304	6809632	Ranjan			['man']					
22305	98503	Harry	['confronts']	['meets']	['wife']					
22306	98503	Alfie Elkins	['spends', 'decides', 'has']	['change']	['floor']	chauffeur		one - night		
22307	98503	Ruby	['American']	['meets']	['rich']					
22308	98503	Gilda			['affairs']					
22309	98503	Annie			['hitchhiker']					
22310	98503	Otto Heller				cameraman				
22311	98503	Otto Heller				director				
22312	98503	Lewis Gilbert				director				
22313	19793512	Elizabeth	['has', 'falls']		['old']			19 - year - old		
22314	5252749	Durant	['imprisoned', 'evicted']		['evil', 'Bujold', 'overlord']					
