	Wikipedia ID	Subject	Relation
0	1002717	Gloria Mundy	librarian
1	1002717	Gloria Mundy	manager
2	1002717	Fergie	Inspector
3	1002717	Turk Farnum	chauffeur
4	1002717	Tony Carlson	Lt.
5	1002717	Thorncrest	Archbishop
6	1002717	Delia Darrow	assistant
7	1002717	Gerda Caswell	assistant
8	1002717	Rachel Roberts	assistant
9	1002717	Stanley Tibbets	conductor
10	10048887	Witherspoon	driver
11	10048887	McBride	manager
12	10048887	Witherspoon	owner
13	10048887	Jeremy O'Brien	driver
14	10048887	Battle Witherspoon	executive
15	10048887	Giles	driver
16	1005660	Nino Paventi	policeman
17	1006385	Norman Lindsay	artist
18	1006385	Tony	priest
19	1006812	Ira Grushinsky	representative
20	1006812	Joy	teacher
21	1006812	Joy	teacher
22	1006993	Tom Bartlett	manager
23	1006993	Amanda Shelton	chef
24	1006993	Amanda Shelton	chef
25	10160738	Julian	dentist
26	10160738	Toni	dentist
27	10160738	Stephanie Dickinson	dental assistant
28	101813	Jack Campbell	executive
29	101813	Jack Campbell	salesman
30	101813	Jack Campbell	lawyer
31	1018874	James	Secret Service agent
32	10190365	Mirchandani	detective
33	10190365	Dattabhau	leader
34	101907	Walter Menkes	producer
35	101943	Elliot Garfield	actor
36	101943	Mark	director
37	102026	Guy Patterson	drummer
38	102026	Chris Ellis	manager
39	102026	Phil Horace	manager
40	102026	White	representative
41	102026	Sol Siler	founder
42	102026	Del Paxton	pianist
43	102026	Jimmy Mattingly	record producer
44	10206152	Raymond Ding	professor
45	1028910	Vicky Hiller	editor
46	1028910	Zip Martin	astronaut
47	1028910	Zip Martin	Major
48	1028910	Barbara Novak	astronaut
49	1028910	his	Catcher
50	103018	Joe Pendleton	quarterback
51	103018	Leo Farnsworth	industrialist
52	103018	Max Corkle	trainer
53	103018	Betty Logan	activist
54	103018	Thomas Jarrett	quarterback
55	1031231	Grga Pitić	gangster
56	1031573	Ben	Secret Service agent
57	1031573	Eugenio	gondolier
58	1031573	Ben	photographer
59	10327104	James	actor
60	10327104	Stella	teacher
61	10327104	Aaron Carter	actor
62	10327104	Stella	elementary school teacher
63	10335706	Richard Herald II	singer
64	10335706	Richard Herald II	performer
65	10353968	Guinevere Pettigrew	governess
66	10353968	Delysia Lafosse	actress
67	10353968	Michael Pardue	pianist
68	10353968	Joe Blomfield	designer
69	10353968	Mary	Queen
70	10376736	Brueghel	painter
71	10387052	Christopher	author
72	10387052	Madden	author
73	10387052	Watson	Lieutenant
74	10387052	her	writer
75	10394520	Katherine Grant	photographer
76	10394520	Jim Ryan	engineer
77	1039551	Michael Minelli	mobster
78	1039551	Kimberly Jonz	reporter
79	1039551	Harris	Mayor
80	1039551	Harris	Mayor
81	1039551	Jason Stone	boss
82	1039551	Harris	Mayor
83	10420250	Nick of the Bernstein	security guard
84	10436186	Rong	screenwriter
85	10440784	Carleton	Professor
86	10466696	Jamale	actress
87	10469675	Patricia Foster	industrial designer
88	10483931	Katie	waitress
89	10506215	Simon Cotton	landlord
90	1051820	Laney Boggs	student
91	1052753	his	driver
92	10536433	Frank	Reverend
93	10536433	Frank	minister
94	10536433	Frank	Reverend
95	10536985	Franz Mazur	filmmaker
96	10536985	Chick Chicalini	mobster
97	10542644	Luke	pop star
98	10542644	Barry	dentist
99	10542644	Melanie	photographer
100	1055633	Lila Montagne	actress
101	1055633	Aaron	missionary
