	Wikipedia ID	Subject	Relation
0	1001692	Steele	Lady Claire
1	1006385	Lindsay	Rose
2	10095235	Diogo Álvares	Diogo Álvares
3	10095235	Paraguaçu	Diogo Álvares
4	10095235	Diogo Álvares	Paraguaçu
5	10095235	Diogo Álvares	Diogo Álvares
6	10190365	Paro	Shambunath Mehta
7	10190365	Shambunath Mehta	Paro
8	101907	Gloria	Steve
9	101907	Steve	Gloria
10	101907	Vicky	Gloria
11	103018	Leo Farnsworth	Julia
12	103018	Julia	Leo Farnsworth
13	1031573	Oxford University Anna	Ben
14	10376736	Flanders	Cornelia
15	10436186	Rong	Daeng
16	10536433	Ben Murphy	Maria Gonzalez
17	10536433	Maria Gonzalez	Ben Murphy
18	10628838	Muthu	Roja
19	10628838	Roja	Muthu
20	1071219	John Clark	Beverly
21	1071219	Beverly	John Clark
22	10715230	Tom Ferris	Julie
23	10715230	Julie	Tom Ferris
24	1096949	her	Eddie
25	1096949	Eddie	her
26	1107052	Rob Salinger	Micki
27	1107052	Micki	Rob Salinger
28	11176488	Anthony Gonsalves	Riya
29	11176488	Riya	Anthony Gonsalves
30	11223	Scarlett	Tom
31	11223	Prince Charles	Tom
32	11223	Fiona	Scarlett
33	11223	Tom	Prince Charles
34	11223	Tom	Deirdre
35	11223	Henrietta	Prince Charles
36	11223	Henrietta	Scarlett
37	11223	Chester	Henrietta
38	11223	Tom	Fiona
39	11223	Carrie	Prince Charles
40	11223	David	Deirdre
41	11223	Prince Charles	Fiona
42	11223	David	Scarlett
43	11223	Matthew	Prince Charles
44	11223	Chester	Matthew
45	11223	Carrie	Tom
46	11223	Scarlett	Carrie
47	11223	Prince Charles	Chester
48	11223	Tom	David
49	11223	Fiona	Prince Charles
50	11223	Fiona	Deirdre
51	11223	Carrie	Henrietta
52	11223	Scarlett	David
53	11223	Henrietta	Chester
54	11223	Chester	Deirdre
55	11223	Carrie	David
56	11223	Carrie	Deirdre
57	11223	Henrietta	Deirdre
58	11223	Tom	Matthew
59	11223	Fiona	David
60	11223	Deirdre	Matthew
61	11223	David	Fiona
62	11223	Scarlett	Chester
63	11223	Tom	Tom
64	11223	Prince Charles	Carrie
65	11223	Deirdre	Henrietta
66	11223	David	Prince Charles
67	11223	Matthew	Chester
68	11223	Prince Charles	Henrietta
69	11223	Chester	Fiona
70	11223	Fiona	Tom
71	11223	Deirdre	David
72	11223	Deirdre	Scarlett
73	11223	Matthew	Carrie
74	11223	Tom	Henrietta
75	11223	Tom	Scarlett
76	11223	Scarlett	Henrietta
77	11223	Matthew	Henrietta
78	11223	Tom	Chester
79	11223	Fiona	Matthew
80	11223	Deirdre	Chester
81	11223	Henrietta	Fiona
82	11223	Scarlett	Matthew
83	11223	Scarlett	Prince Charles
84	11223	David	Chester
85	11223	Matthew	David
86	11223	Carrie	Scarlett
87	11223	Tom	Carrie
88	11223	David	Carrie
