	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10	top 10 title	top 10 attributes	top 10 agent verbs
16	['Carly', 'Transformers: Dark of the Moon']	['Arwen', 'The Lord of the Rings: The Return of the King']	['Joshamee Gibbs', 'Pirates of the Caribbean: On Stranger Tides']	"['Joshamee Gibbs', ""Pirates of the Caribbean: At World's End""]"	['Arwen', 'The Lord of the Rings: The Two Towers']	['Ellie Sattler', 'Jurassic Park']	['Arwen', 'The Lord of the Rings: The Fellowship of the Ring']	['Zuba', 'Madagascar: Escape 2 Africa']	['Andromeda', 'Clash of the Titans']	['Ellie Sattler', 'Jurassic Park III']	['magnate', 'queen', 'officer', 'princess', 'musician', 'manager', 'leader', 'student', 'biologist', 'general']	['father', 'daughter', 'friend', 'mother', 'heart', 'brother', 'love', 'son', 'check', 'named']	['reunite', 'take', 'leave', 'tell', 'go', 'decide', 'meet', 'return', 'begin', 'reveal']
12	['Bezu Fache', 'The Da Vinci Code']	['Finn McMissile', 'Cars 2']	['Paz', 'The Bourne Ultimatum']	['Bob Cratchit', 'A Christmas Carol']	['Ward Abbott', 'The Bourne Supremacy']	['David Kawena', 'Lilo & Stitch']	['President Lindberg', 'The Fifth Element']	"['Horatio', ""Gulliver's Travels""]"	['George Logan', 'Scary Movie 3']	['Malcolm Bench', 'Vertical Limit']	['detective', 'lt', 'officer', 'manager', 'reverend', 'chancellor', 'deputy', 'director', 'owner', 'president']	['friend', 'wife', 'house', 'room', 'girl', 'love', 'relationship', 'husband', 'son', 'mother']	['tell', 'go', 'ask', 'find', 'get', 'leave', 'take', 'see', 'arrive', 'say']
21	['J. Jonah Jameson', 'Spider-Man']	['Harold Oxley', 'Indiana Jones and the Kingdom of the Crystal Skull']	['J. Jonah Jameson', 'Spider-Man 2']	['Jackson Curtis', '2012']	['Yuri Karpov', '2012']	['Anton Ego', 'Ratatouille']	['Jonathan Lundy', 'Mrs. Doubtfire']	['George McFly', 'Back to the Future']	['Catherine Tramell', 'Basic Instinct']	['George McFly', 'Back to the Future Part II']	['writer', 'author', 'editor', 'novelist', 'journalist', 'waitress', 'reporter', 'poet', 'critic', 'sports']	['friend', 'writer', 'book', 'symphony', 'author', '2nd', 'house', 'wife', 'editor', 'father']	['go', 'find', 'decide', 'meet', 'tell', 'take', 'discover', 'write', 'get', 'escape']
32	['King Magnus', 'Snow White and the Huntsman']	['Sarah Hotchner', 'Deep Impact']	['Lorna Cole', 'Lethal Weapon 3']	['Lorna Cole', 'Lethal Weapon 4']	"['Julie Abrams', ""Bienvenue chez les Ch'tis""]"	['Sibylla', 'Kingdom of Heaven']	['Val Goldman', 'The Birdcage']	['Barbara Keeley', 'The Birdcage']	['Anthony', 'Sweeney Todd: The Demon Barber of Fleet Street']	['William Riker', 'Star Trek: Generations']	['sergeant', 'captain', 'commander', 'senator', 'superior', 'private', 'princess', 'police', 'officer', 'coach']	['daughter', 'son', 'marriage', 'father', 'life', 'sister', 'parent', 'farewell', 'friend', 'uncle']	['marry', 'go', 'tell', 'come', 'leave', 'refuse', 'elope', 'find', 'fall', 'agree']
0	['Dr. Chase Meridian', 'Batman Forever']	['Sarah Whittle', 'Jumanji']	['Kuato', 'Total Recall']	['Rita Escobar', 'Wild Wild West']	['Jovie', 'Elf']	['Kilowog', 'Green Lantern']	['Felix', 'Collateral']	['Jesse', 'The Fast and the Furious']	['Granmamare', 'Ponyo']	['Giovanni', 'Pokémon: The First Movie']	['professor', 'detective', 'princess', 'king', 'president', 'accountant', 'chairman', 'sales', 'representative', 'contractor']	['mother', 'help', 'life', 'sister', 'father', 'matter', 'fairy', 'friend', 'revenge', 'wife']	['meet', 'tell', 'ask', 'reveal', 'come', 'kill', 'give', 'leave', 'find', 'become']
1	['Steve Rogers', 'The Avengers']	['Thor', 'The Avengers']	['Lord Voldemort', 'Harry Potter and the Deathly Hallows – Part 2']	['Harry Potter', 'Harry Potter and the Deathly Hallows – Part 2']	['Saruman', 'The Lord of the Rings: The Return of the King']	['Théoden', 'The Lord of the Rings: The Return of the King']	['Frodo Baggins', 'The Lord of the Rings: The Return of the King']	['Batman', 'The Dark Knight Rises']	['Bruce Wayne', 'The Dark Knight Rises']	['Andy', 'Toy Story 3']	['captain', 'general', 'driver', 'judge', 'policeman', 'acrobat', 'detective', 'commandant', 'inspector', 'president']	['wife', 'friend', 'house', 'much', 'head', 'son', 'father', 'home', 'attempt', 'mother']	['go', 'tell', 'try', 'take', 'get', 'find', 'kill', 'meet', 'see', 'manage']
2	['Rachel Dawes', 'The Dark Knight']	"['Cutler Beckett', ""Pirates of the Caribbean: At World's End""]"	['Sir Leigh Teabing', 'The Da Vinci Code']	['Griffin', 'Men in Black 3']	['Vesper Lynd', 'Casino Royale']	['Vesper Lynd', 'Quantum of Solace']	['Kingsley', 'The Hangover: Part II']	['Teddy', 'The Hangover: Part II']	['Irene Adler', 'Sherlock Holmes: A Game of Shadows']	['Lord Blackwood', 'Sherlock Holmes']	['police', 'officer', 'sheriff', 'inspector', 'attorney', 'deputy', 'major', 'director', 'captain', 'lieutenant']	['friend', 'wife', 'murder', 'death', 'mother', 'arrest', 'daughter', 'one', 'brother', 'house']	['take', 'go', 'tell', 'find', 'shoot', 'try', 'arrive', 'meet', 'kill', 'get']
14	['Padmé Amidala', 'Star Wars Episode I: The Phantom Menace']	['Gwen Stacy', 'Spider-Man 3']	['Padmé Amidala', 'Star Wars Episode III: Revenge of the Sith']	['Gwen Stacy', 'The Amazing Spider-Man']	['Luke Hobbs', 'Fast Five']	['Clumsy Smurf', 'The Smurfs']	['Poseidon', 'Clash of the Titans']	['Duke Hammond', 'Snow White and the Huntsman']	['Poseidon', 'Wrath of the Titans']	['Sola', 'John Carter']	['general', 'police', 'major', 'lieutenant', 'chief', 'of', 'investigator', 'captain', 'officer', 'senator']	['able', 'unable', 'friend', 'brother', 'father', 'ability', 'wife', 'daughter', 'much', 'need']	['tell', 'take', 'find', 'try', 'refuse', 'return', 'become', 'go', 'meet', 'arrive']
8	['Yoda', 'Star Wars Episode III: Revenge of the Sith']	['Arthur', 'Inception']	['Robbie Ferrier', 'War of the Worlds']	['Dr. Robert Neville', 'I Am Legend']	['Cecil', 'Night at the Museum']	['Yoda', 'Star Wars Episode V: The Empire Strikes Back']	['Andy', 'Toy Story 2']	['Yoda', 'Star Wars Episode VI: Return of the Jedi']	['Charlie Bucket', 'Charlie and the Chocolate Factory']	['Emily Appleton', 'National Treasure: Book of Secrets']	['professor', 'sgt', 'prince', 'writer', 'dancer', 'general', 'colonel', 'private', 'psychiatrist', 'manager']	['friend', 'brother', 'father', 'mother', 'force', 'help', 'life', 'daughter', 'son', 'house']	['find', 'try', 'go', 'force', 'get', 'take', 'confront', 'leave', 'become', 'tell']
28	['Sirius Black', 'Harry Potter and the Prisoner of Azkaban']	['Brandt', 'Mission: Impossible – Ghost Protocol']	['Fred Haise', 'Apollo 13']	['Paul Krendler', 'Hannibal']	['Fly', 'Babe']	['Mephisto', 'Ghost Rider']	['Mavis', 'Hotel Transylvania']	['Emilie', 'War Horse']	['Hallie McDaniel', 'Scream 2']	['William Bludworth', 'Final Destination 5']	['commander', 'minister', 'producer', 'coroner', 'senator', 'leader', 'messiah', 'preacher', 'detective', 'emperor']	['wife', 'house', 'mother', 'husband', 'parent', 'daughter', 'love', 'son', 'father', 'story']	['go', 'tell', 'accuse', 'find', 'take', 'get', 'return', 'try', 'leave', 'begin']
