labels	partner_description
10	['warn', 'become', 'body', 'find', 'escape', 'lose', 'watch', 'tell', 'lock', 'wife', 'fall', 'marry', 'stand', 'fight', 'run', 'bring', 'meet', 'run', 'brother', 'son', 'marry', 'find', 'quit', 'start', 'marry', 'find', 'quit', 'start', 'Finding', 'meet', 'Finding', 'meet', 'meet', 'become', 'wander', 'run', 'watch', 'lament', 'arrest', 'go', 'tell', 'lament', 'sign', 'move', 'snap', 'spy', 'go', 'lament', 'release', 'discover', 'separate', 'look', 'slap', 'show', 'recruit', 'give', 'seduce', 'visit', 'choose', 'manufacture', 'chastise', 'face', 'suck', 'lament', 'pick', 'meet', 'teacher', 'connection', 'ego', 'wife', 'head', 'groupie', 'parent']
11	['delight', 'relay', 'find', 'bind', 'ailing', 'wife', 'think', 'say', 'murder', 'know', 'go', 'drive', 'slam', 'knock', 'tell', 'arrive', 'call', 'turn', 'assume', 'kill', 'tell', 'trust', 'visit', 'photo', 'photo', 'apartment', 'wife', 'gun', 'arrival']
12	['think', 'injure', 'impose', 'swerve', 'make', 'avoid', 'attack', 'leave', 'concern', 'embarrass', 'pact', 'accident', 'accident', 'nature', 'propose', 'return', 'arrive', 'collaborate', 'lock', 'get', 'find', 'answer', 'marry', 'explain', 'sneak', 'realize', 'learn', 'let', 'apologize', 'bring', 'cheat', 'take', 'confront', 'hit', 'tell', 'entice', 'intend', 'cause', 'tell', 'try', 'attend', 'seduce', 'feel', 'goad', 'get', 'show', 'seduce', 'leave', 'apartment', 'girlfriend', 'heart', 'woman', 'computer', 'ingenuity', 'address', 'alone', 'return', 'distract', 'kill', 'cruel', 'husband', 'see', 'steal', 'think', 'douse', 'take', 'narrate', 'end', 'know', 'rescue', 'go', 'rescue', 'remember', 'lose', 'watch', 'try', 'meet', 'learn', 'conclude', 'learn', 'begin', 'run', 'ask', 'realize', 'give', 'found', 'upset', 'see', 'steal', 'think', 'douse', 'take', 'narrate', 'end', 'know', 'rescue', 'go', 'rescue', 'remember', 'lose', 'watch', 'try', 'meet', 'learn', 'conclude', 'learn', 'begin', 'run', 'ask', 'realize', 'give', 'found', 'upset', 'learn', 'ask', 'greet', 'tell', 'upset', 'sell', 'watch', 'inspire', 'prevent', 'learn', 'ask', 'greet', 'tell', 'upset', 'sell', 'watch', 'inspire', 'prevent', 'motel', 'argument', 'tongue', 'friend', 'approach', 'father', 'character', 'sister', 'passing', 'adult', 'handyman', 'motel', 'argument', 'tongue', 'friend', 'approach', 'father', 'character', 'sister', 'passing', 'adult', 'handyman', 'principal', 'handyman']
13	['try', 'discover', 'stop', 'pull', 'wife', 'able', 'suggest', 'suggest', 'leave', 'death', 'sister', 'dead', 'accident', 'graduation', 'wife', 'star', 'explain', 'upset', 'set', 'flash', 'confide', 'agree', 'write', 'find', 'threaten', 'find', 'feel', 'convince', 'tell', 'rob', 'confide', 'upset', 'hat', 'expose', 'catch', 'ponder', 'marry', 'force', 'confess', 'leave', 'one', 'evidence', 'photograph', 'employer', 'charge', 'photograph', 'behavior', 'sister', 'friend', 'photo', 'photo', 'uncle', 'detective', 'unworthy', 'arrive', 'attack', 'examine', 'find', 'decide', 'fly', 'hear', 'examine', 'find', 'issue', 'leave', 'drop', 'lead', 'use', 'wonder', 'survivor', 'stand', 'climb', 'peel', 'become', 'kill', 'follow', 'crush', 'shoot', 'alive', 'wife', 'image', 'image', 'dead']
14	['look', 'strap', 'return', 'pull', 'discover', 'stumble', 'visit', 'ask', 'begin', 'find', 'locate', 'enter', 'look', 'strap', 'return', 'pull', 'discover', 'stumble', 'visit', 'ask', 'begin', 'find', 'locate', 'enter', 'see', 'call', 'convince', 'attack', 'notice', 'tell', 'see', 'call', 'convince', 'attack', 'notice', 'tell', 'viewing', 'night', 'trapping', 'sister', 'house', 'wife', 'ceiling', 'distraught', 'viewing', 'night', 'trapping', 'sister', 'house', 'wife', 'ceiling', 'distraught', 'police detective', 'security guard', 'return', 'find', 'walk', 'leave', 'monitor', 'husband', 'refuse', 'recognize', 'search', 'go', 'commit', 'call', 'cross', 'revive', 'go', 'tell', 'ask', 'couple']
15	[]
16	[]
17	['follow', 'see', 'see', 'pin', 'accept', 'marry', 'ask', 'win', 'injure', 'go', 'marry', 'like', 'like', 'feminist', 'friend', 'elope', 'marry', 'elope', 'meet', 'combat', 'man', 'affair', 'elope', 'marry', 'elope', 'meet', 'combat', 'man', 'affair', 'find', 'call', 'like', 'lose', 'steal', 'pay', 'refuse', 'rush', 'confess', 'manage', 'replace', 'try', 'marry', 'marry', 'confirm', 'go', 'mess', 'see', 'punch', 'pose', 'make', 'try', 'marry', 'call', 'get', 'decide', 'claim', 'reach', 'leave', 'meet', 'learn', 'impress', 'give', 'become', 'tell', 'get', 'embrace', 'return', 'convince', 'love', 'propose', 'want', 'see', 'mess', 'link', 'best', 'night', 'friend', 'grandfather', 'friend', 'way', 'romance', 'way', 'best', 'find', 'call', 'like', 'lose', 'steal', 'pay', 'refuse', 'rush', 'confess', 'manage', 'replace', 'try', 'marry', 'marry', 'confirm', 'go', 'mess', 'see', 'punch', 'pose', 'make', 'try', 'marry', 'call', 'get', 'decide', 'claim', 'reach', 'leave', 'meet', 'learn', 'impress', 'give', 'become', 'tell', 'get', 'embrace', 'return', 'convince', 'love', 'propose', 'want', 'see', 'mess', 'link', 'best', 'night', 'friend', 'grandfather', 'friend', 'way', 'romance', 'way', 'best']
18	['remarry', 'free', 'act', 'cause', 'comfort', 'ex-wife', 'refuge', 'learn', 'head', 'kill', 'find', 'play', 'remarry', 'undergo', 'show', 'depart', 'explain', 'realize', 'take', 'refuse', 'start', 'catch', 'murder', 'seek', 'hold', 'explain', 'attempt', 'decide', 'approach', 'capture', 'kill', 'hide', 'kill', 'control', 'hunt', 'free', 'addiction', 'report', 'chief', 'victim', 'member', 'Captain', 'finish', 'try', 'attempt', 'catch', 'eat', 'catch', 'begin', 'apologize', 'die', 'arrive', 'tell', 'see', 'convince', 'spy', 'man', 'lawn', 'soul', 'wife', 'house', 'realize', 'call', 'receive', 'kidnap', 'joyful', 'husband', 'amazed', 'husband', 'psychiatrist', 'arrange', 'know', 'allow', 'murder', 'wife', 'believe', 'insist', 'realize', 'blame', 'assume', 'director']
19	['rush', 'cut', 'succeed', 'station', 'start', 'take', 'give', 'lift', 'learn', 'go', 'ask', 'tell', 'pull', 'try', 'learn', 'rush', 'cut', 'succeed', 'station', 'start', 'take', 'give', 'lift', 'learn', 'go', 'ask', 'tell', 'pull', 'try', 'learn', 'rush', 'cut', 'succeed', 'station', 'start', 'take', 'give', 'lift', 'learn', 'go', 'ask', 'tell', 'pull', 'try', 'learn', 'kill', 'stop', 'track', 'receive', 'kill', 'stop', 'track', 'receive', 'kill', 'stop', 'track', 'receive', 'deal', 'eyed', 'son', 'cop', 'arm', 'vain', 'deal', 'eyed', 'son', 'cop', 'arm', 'vain', 'deal', 'eyed', 'son', 'cop', 'arm', 'vain', 'Inspector', 'gangster', 'police officer']
20	['offer', 'discover', 'rape', 'rejoin', 'bank', 'wife', 'recover', 'love', 'awaken', 'disconnect', 'die', 'force', 'plan', 'learn', 'forgive', 'force', 'allow', 'give', 'describe', 'die', 'tryst', 'husband', 'coma', 'husband', 'prognosis', 'bed', 'affair', 'wife', 'lover', 'husband', 'death', 'coma', 'ash', 'dead', 'cheat', 'kick', 'kick', 'begin', 'leave', 'upset', 'ask', 'breastfeed', 'get', 'plan', 'tell', 'comfort', 'find', 'kiss', 'disturb', 'color', 'sex', 'wife']
21	[]
22	['like', 'marry', 'meet', 'Finally', 'Finally', 'marry', 'go', 'marry', 'refuse', 'misunderstand', 'meet', 'say', 'student', 'parent', 'betrayal', 'student', 'date', 'win', 'forgive', 'take', 'win', 'lose', 'father']
23	['get', 'follow', 'marry', 'find', 'confront', 'miss', 'arrange', 'get', 'follow', 'marry', 'find', 'confront', 'miss', 'arrange', 'meet', 'flee', 'force', 'meet', 'flee', 'force', 'arrive', 'ignore', 'sit', 'find', 'hold', 'come', 'investigate', 'call', 'hold', 'wife', 'follow', 'beat', 'save', 'marry', 'save', 'love']
24	['emit', 'attempt', 'crumble', 'convince', 'wife', 'present', 'accept', 'state', 'walk', 'wife']
25	['feel', 'wife', 'disapproval', 'amusement', 'insistence', 'do', 'convince', 'testify', 'treat', 'tell', 'call', 'take', 'kill', 'notice', 'accuse', 'give', 'confront', 'drive', 'tell', 'warm', 'realize', 'hear', 'pass', 'prove', 'meet', 'try', 'realize', 'kill', 'find', 'take', 'track', 'show', 'hold', 'save', 'hurt', 'head', 'interrogating', 'car', 'sceptical', 'join', 'marry', 'win', 'plan', 'arrive', 'take', 'manage', 'travel', 'steal', 'farewell', 'apart', 'apart']
26	['run', 'buy', 'bring', 'stall', 'die', 'buy', 'sign', 'disclose', 'say', 'meet', 'admit', 'invite', 'die', 'sign', 'meet', 'daughter', 'wife', 'daughter', 'son', 'daughter', 'ill', 'CEO', 'claim', 'find', 'support', 'attract', 'perform', 'split', 'offer', 'train', 'prove', 'contractor', 'prepare', 'stand', 'decide', 'end', 'lock', 'awaken', 'receive', 'take', 'run', 'lock', 'end', 'confess', 'awaken', 'diary', 'behavior', 'closer', 'marry', 'reveal', 'meet', 'sister', 'rift', 'past', 'child', 'come', 'mother', 'save', 'hear', 'tell', 'wake', 'begin', 'find', 'pick', 'come', 'leave', 'return', 'become', 'crawl', 'break', 'escape', 'begin', 'think', 'collect', 'tell', 'believe', 'begin', 'catch', 'look', 'kill', 'illustrator', 'home', 'husband', 'house', 'daughter', 'illustrator', 'take', 'come', 'faint', 'tell', 'arrive', 'threaten', 'distract', 'arrest', 'faint', 'meet', 'find', 'daughter', 'wife', 'seeing', 'reveal', 'die', 'distort', 'watch', 'cousin', 'funeral', 'death', 'believe', 'learn', 'arrive', 'manage', 'allow', 'confront', 'kill', 'escape', 'ask', 'murder', 'son', 'murder', 'husband', 'move', 'fall', 'begin', 'stand', 'marry', 'accuse', 'suffer', 'couple', 'visit', 'enamour', 'help', 'incident', 'disarm', 'take', 'run', 'drive', 'crash', 'emerge', 'reveal', 'talk', 'say', 'describe', 'tell', 'leave', 'leave', 'get', 'go', 'stab', 'stash', 'hold', 'take', 'shoot', 'kill', 'house', 'car', 'struggle', 'belligerent']
27	['make', 'arrive', 'separate', 'near', 'realize', 'escape', 'sneak', 'threaten', 'go', 'separate', 'force', 'shoot', 'Marsh', 'appear', 'respond', 'meet', 'deny', 'go', 'kiss', 'make', 'ask', 'admit', 'embrace', 'meet', 'know', 'suspect', 'make', 'husband', 'bed', 'loyalty', 'encounter', 'learn', 'marry', 'learn', 'show', 'named', 'pregnant', 'owner', 'see', 'write', 'confront', 'face', 'love', 'wife', 'fearful', 'physician', 'say', 'save', 'arrive', 'watch', 'complete', 'awaken', 'fail', 'trap', 'accept', 'marry', 'retrieve', 'inform', 'lead', 'convince', 'convince', 'help', 'victim', 'screaming', 'test', 'unable']
28	['happen', 'pull', 'fall', 'fill', 'death', 'death', 'death', 'wake', 'wake', 'brother', 'free', 'reason', 'leave', 'believe', 'hatred', 'hatred', 'wife', 'suicidal']
29	['drive', 'ask', 'take', 'beat', 'see', 'grab', 'go', 'say', 'meet', 'watch', 'play', 'whisper', 'run', 'call', 'stand', 'break', 'call', 'see', 'man', 'know', 'buzz', 'walk', 'perplex', 'tell', 'plague', 'lock', 'cell', 'front', 'front', 'saxophonist']
30	['try', 'learn', 'learn', 'kill', 'persuade', 'wife', 'vain', 'miss', 'intend', 'drive', 'hear', 'try', 'decide', 'drive', 'tell', 'live', 'warm', 'take', 'drive', 'confront', 'confront', 'mistaken', 'wife', 'car', 'reveal', 'fall', 'move', 'wife', 'puzzled']
31	['sort', 'help', 'see', 'tell', 'sort', 'husband', 'go', 'ask', 'tell', 'find', 'marry', 'fiance', 'gay', 'arrange', 'pack', 'disappear', 'call', 'take', 'come', 'return', 'bring', 'agree', 'leave', 'arrive', 'propose', 'call', 'fight', 'pawn', 'marry', 'find', 'pay', 'purchase', 'see', 'Back', 'continue', 'urging', 'liking', 'liking', 'absence', 'singing', 'call', 'exit', 'see', 'leave', 'go', 'kill', 'face', 'friend', 'wife', 'friend', 'asleep']
