labels	partner_description
0	['win', 'injure', 'go', 'marry', 'like', 'like', 'feminist', 'friend']
1	['die', 'submit', 'confront', 'wife', 'marriage', 'marriage', 'cause', 'come', 'go', 'cancel', 'cause', 'come', 'go', 'cancel', 'engine', 'engine', 'barrister', 'salesman', 'go', 'marry', 'hesitate', 'relent', 'love', 'marry', 'accept', 'start', 'mother', 'arrive', 'love', 'present', 'sort', 'refuse', 'proceed', 'start', 'mother', 'arrive', 'love', 'present', 'sort', 'refuse', 'proceed', 'find', 'forgive', 'fight', 'rap', 'find', 'forgive', 'fight', 'rap', 'house', 'house', 'put', 'know', 'confront', 'Reunited', 'report', 'leave', 'visit', 'marry', 'Reunited', 'leave', 'believe', 'suspicion', 'daughter', 'house', 'beautiful', 'sister', 'gift', 'elegant', 'Senator', 'find', 'visit', 'bear', 'prefer', 'find', 'talk', 'grab', 'shock', 'tell', 'get', 'climb', 'find', 'drain', 'decision', 'exchange', 'winner', 'wife', 'woman', 'exchange', 'winner', 'husband', 'arrive', 'back', 'insist', 'find', 'rescue', 'husband', 'scour', 'return', 'discover', 'room', 'room', 'hurt', 'say', 'take', 'plead', 'run', 'hide', 'prescribe', 'hide', 'accept', 'leave', 'hound', 'leave', 'allow', 'wife', 'one', 'leave', 'give', 'brother', 'company', 'wife', 'panicky', 'receive', 'learn', 'confront', 'intervene', 'relay', 'exit', 'feel', 'ask', 'meet', 'give', 'impress', 'receive', 'leave', 'return', 're-enter', 'discover', 'believe', 'notice', 'decline', 'manage', 'face', 'explain', 'subdue', 'use', 'hire', 'rebuff', 'slap', 'impress', 'threaten', 'charge', 'approach', 'offer', 'tell', 'receive', 'inform', 'slip', 'insurance', 'method', 'belt', 'wife', 'tell', 'try', 'upset', 'pretend', 'ask', 'smash', 'collaborate', 'become', 'fail', 'stalk', 'wait', 'give', 'leave', 'arrive', 'hear', 'lunch', 'meet', 'see', 'seduce', 'bring', 'marry', 'take', 'locate', 'love', 'call', 'note', 'attendance', 'girlfriend', 'absence', 'relationship', 'contact', 'cellphone', 'break', 'take', 'rid', 'explain', 'tell', 'marry', 'hide', 'try', 'find', 'marry', 'attack', 'employer', 'knock', 'give', 'rescue', 'rescue', 'tell', 'tell', 'offer', 'learn', 'marry', 'ask', 'lead', 'rescue', 'help', 'hand', 'vaporize', 'pick', 'pick', 'destiny', 'stakeout', 'start', 'excel', 'miss', 'realise', 'exasperate', 'go', 'come', 'marry', 'exasperate', 'leave', 'ask', 'childishness', 'name', 'name', 'daughter', 'enter', 'ask', 'find', 'rid', 'tell', 'wife', 'marry', 'take', 'refuse', 'give', 'change', 'struggle', 'part', 'ask', 'lose', 'cause', 'oversee', 'ask', 'put', 'divorce', 'change', 'son', 'curse', 'father', 'son', 'conflict', 'do', 'agree', 'rid', 'go', 'debut', 'continue', 'sing', 'leave', 'marry', 'come', 'sneak', 'perform', 'experience', 'play', 'run', 'take', 'speak', 'succumb', 'head', 'begin', 'pay', 'feed', 'find', 'rid', 'lock', 'head', 'call', 'pick', 'rap', 'see', 'embark', 'leave', 'tour', 'set', 'career', 'fragile', 'debut', 'hysterical', 'singer', 'run', 'fall', 'get', 'go', 'pretend', 'marry', 'win', 'stay', 'run', 'name', 'want', 'marry', 'assure', 'goon', 'mother', 'identity', 'family', 'uncle', 'fiancee', 'encourage', 'inform', 'follow', 'meet', 'abandon', 'realise', 'show', 'abandon', 'continue', 'help', 'hire', 'trail', 'overhear', 'start', 'believe', 'find', 'start', 'get', 'go', 'bring', 'fall', 'resume', 'shoot', 'protect', 'fall', 'reconcile', 'reconstruct', 'husband', 'trunk', 'corpse', 'real', 'likeness', 'identity', 'wallet', 'body', 'wary', 'abusive', 'cautious', 'pose', 'discover', 'watch', 'look', 'meet', 'return', 'commit', 'arrest', 'chastise', 'break', 'beg', 'confront', 'send', 'lament', 'separate', 'discover', 'pose', 'release', 'show', 'treat', 'break', 'pick', 'visit', 'choose', 'remand', 'learning', 'sheet', 'learning', 'assessment', 'marrying', 'assessment', 'objection', 'orphan', 'lack', 'life', 'marriage', 'desirable', 'sympathetic', 'try', 'marry', 'sign', 'title', 'sign', 'device', 'cooperation', 'character', 'certificate', 'get', 'think', 'look', 'talk', 'go', 'find', 'marry', 'see', 'speak', 'grandmother', 'back', 'wedding', 'marriage', 'call', 'aunt', 'leaving', 'student', 'able', 'student', 'get', 'think', 'look', 'talk', 'go', 'find', 'marry', 'see', 'speak', 'grandmother', 'back', 'wedding', 'marriage', 'call', 'aunt', 'leaving', 'student', 'able', 'student', 'attend', 'begin', 'keep', 'pay', 'head', 'arrive', 'take', 'enter', 'pray', 'begin', 'write', 'leave', 'join', 'instruct', 'tell', 'drive', 'see', 'determination', 'departure', 'get', 'assume', 'lose', 'hijack', 'say', 'drive', 'taunt', 'kill', 'tell', 'wait', 'insist', 'draw', 'ensue', 'send', 'get', 'cross', 'pursue', 'give', 'send', 'urge', 'wife', 'station', 'incredulous', 'get', 'assume', 'lose', 'hijack', 'say', 'drive', 'taunt', 'kill', 'tell', 'wait', 'insist', 'draw', 'ensue', 'send', 'get', 'cross', 'pursue', 'give', 'send', 'urge', 'wife', 'station', 'incredulous', 'escape', 'give', 'give', 'live', 'faint', 'confront', 'agree', 'expose', 'intervene', 'try', 'find', 'force', 'take', 'convince', 'find', 'inform', 'attitude', 'story', 'pregnant', 'recover', 'notice', 'wife', 'affair', 'affair', 'take', 'seem', 'give', 'admit', 'live', 'frighten', 'run', 'discover', 'ask', 'take', 'pretend', 'beach', 'mermaid', 'mermaid', 'girl', 'arrive', 'infiltrate', 'meet', 'try', 'meet', 'kill', 'encounter', 'meet', 'intervene', 'place', 'take', 'return', 'know', 'decide', 'hire', 'find', 'live', 'write', 'withhold', 'cause', 'work', 'lie', 'share', 'share', 'learn', 'live', 'leave', 'wear', 'shove', 'tell', 'accuse', 'come', 'know', 'confront', 'live', 'marry', 'cause', 'outrage', 'show', 'wonder', 'stay', 'wary', 'action', 'responsibility', 'father', 'behalf', 'eavesdrop', 'separate', 'begin', 'turn', 'wander', 'cross', 'commit', 'hover', 'hear', 'separate', 'tell', 'ask', 'take', 'think', 'save', 'ability', 'apartment', 'couple', 'stay', 'grow', 'offer', 'sing', 'fall', 'fall', 'first', 'safety', 'safety', 'safety', 'hysterical', 'waterway', 'singer', 'kill', 'implicate', 'kill', 'murder', 'murder']
2	['defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'realize', 'take', 'overpower', 'prove', 'swim', 'disbar', 'decide', 'persuade', 'hire', 'interrupt', 'testify', 'make', 'attack', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'go', 'kill', 'attack', 'cause', 'track', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'friend', 'Eluding', 'lawyer', 'family', 'judge', 'prosecutor', 'lawyer', 'lawyer', 'die', 'meet', 'linger', 'keep', 'visit', 'take', 'comatose', 'head', 'wife', 'body', 'support', 'take', 'orphan', 'get', 'appear', 'say', 'come', 'save', 'come', 'kill', 'marry', 'murder', 'kill', 'deceased', 'succeed', 'know', 'know', 'refuse', 'get', 'appear', 'take', 'take', 'kill', 'arrest', 'confidence', 'daughter', 'start', 'marry', 'embezzle', 'murder', 'narrator', 'start', 'kill', 'convict', 'sentence', 'marry', 'custody', 'climber', 'meet', 'realize', 'ask', 'call', 'stop', 'demand', 'arrive', 'tell', 'confess', 'wear', 'leave', 'go', 'suspect', 'tell', 'hurt', 'see', 'arouse', 'comfort', 'son', 'son', 'son', 'startling', 'gynecologist', 'gynecologist', 'go', 'run', 'tell', 'know', 'fly', 'call', 'bash', 'assault', 'retrieve', 'promise', 'body', 'wife', 'location', 'brother', 'confront', 'claim', 'confront', 'find', 'talk', 'husband', 'ask', 'try', 'realize', 'escape', 'son', 'builder', 'fly', 'holiday', 'start', 'influence', 'fly', 'continue', 'leave', 'wife', 'free', 'escape', 'hold', 'suggest', 'use', 'walk', 'shake', 'make', 'introduce', 'use', 'attack', 'murder', 'inform', 'rescue', 'find', 'rescue', 'wife', 'ruse']
3	[]
4	['attempt', 'lead', 'leave', 'leave', 'lead', 'kill', 'kill', 'wife', 'disguise', 'disguise', 'head', 'return', 'leave', 'age', 'visit', 'get', 'return', 'letter', 'love', 'ego', 'house', 'letter', 'sister', 'mom', 'relationship', 'love', 'pretend', 'send', 'tell', 'assure', 'get', 'go', 'convince', 'manage', 'find', 'decide', 'help', 'outwit', 'fall', 'get', 'engage', 'get', 'receive', 'send', 'pacify', 'wife', 'dad', 'fiancee', 'truth', 'truth', 'family', 'nephew', 'discover', 'fail', 'talk', 'go', 'discover', 'confront', 'marry', 'recognize', 'marriage', 'groom', 'groom', 'SWAMI', 'manage', 'go', 'discover', 'notice', 'climb', 'realize', 'save', 'escape', 'slap', 'believe', 'eye', 'eye']
5	['shoot', 'reload', 'appear', 'switch', 'surround', 'place', 'present', 'use', 'act', 'reveal', 'assault', 'discover', 'shoot', 'think', 'shoot', 'reload', 'appear', 'switch', 'surround', 'place', 'present', 'use', 'act', 'reveal', 'assault', 'discover', 'shoot', 'think', 'prosecute', 'acquit', 'arrest', 'implicate', 'confront', 'prosecute', 'acquit', 'arrest', 'implicate', 'confront', 'engineer', 'confessing', 'handgun', 'confession', 'gun', 'request', 'one', 'arrest', 'plan', 'engineer', 'confessing', 'handgun', 'confession', 'gun', 'request', 'one', 'arrest', 'plan', 'aeronautical engineer', 'attorney', 'pay', 'collect', 'slip', 'emerge', 'watch', 'explode', 'enter', 'declare', 'find', 'leave', 'reveal', 'snap', 'make', 'go', 'join', 'begin', 'Joining', 'collect', 'explore', 'explode', 'rescue', 'leave', 'dig', 'murder', 'free', 'wife', 'thinking', 'night', 'disheveled', 'charge', 'spy', 'gurney', 'take', 'advise', 'hire', 'suspect', 'make', 'threaten', 'kill', 'shoot', 'confront', 'throw', 'photo', 'office', 'phone', 'phone', 'body', 'owner', 'photo', 'murder', 'safe', 'alive', 'safe', 'owner']
6	['suffocate', 'attach', 'visit', 'kill', 'reveal', 'walk', 'state', 'slap', 'accept', 'go', 'decide', 'investigate', 'indicate', 'unsatisfied', 'card', 'card', 'husband', 'wake', 'take', 'start', 'cancel', 'marry', 'love', 'love', 'daughter', 'believe', 'realise', 'take', 'lock', 'defeat', 'keep', 'marry', 'father', 'brother', 'sibling', 'say', 'take', 'fall', 'accept', 'death', 'wife', 'discomfort', 'take', 'officer', 'manage', 'go', 'begin', 'offer', 'swear', 'agree', 'police', 'jump', 'swear', 'reveal', 'reach', 'fell', 'manage', 'recognize', 'fight', 'aid', 'exact', 'fell', 'shoot', 'let', 'persuade', 'put', 'make', 'accept', 'target', 'track', 'forgive', 'kill', 'attack', 'distraught', 'attempt', 'wife', 'anger', 'whereabouts', 'treating', 'weary', 'village', 'fallout', 'attempt', 'life', 'briefcase', 'house', 'distraught', 'mask', 'men', 'hatred', 'one', 'Superintendent', 'Superintendent', 'stag', 'shoot', 'result', 'show', 'succumb', 'pull', 'try', 'want', 'rob', 'do', 'implore', 'reconcile', 'oppose', 'insist', 'kill', 'rob', 'possessive', 'shoot', 'agree', 'confess', 'leave', 'do', 'reconcile', 'confront', 'run', 'protect', 'confront', 'trail', 'follow', 'meet', 'save', 'con', 'find', 'determine', 'abandon', 'kill', 'blame', 'argument', 'driving', 'love', 'recovery', 'affair', 'recovery', 'abusive', 'work', 'fear', 'father', 'track', 'eat', 'include', 'fall', 'eat', 'decide', 'work', 'fear', 'father', 'track', 'eat', 'include', 'fall', 'eat', 'decide', 'document', 'view', 'determine', 'injure', 'kill', 'fall', 'document', 'view', 'determine', 'injure', 'kill', 'fall', 'vessel', 'nemesis', 'wife', 'documentary', 'producer', 'crew', 'envious', 'sterile', 'envious', 'vessel', 'nemesis', 'wife', 'documentary', 'producer', 'crew', 'envious', 'sterile', 'envious', 'pilot', 'oceanographer', 'suave', 'marry', 'nemesis', 'rich', 'successful']
7	['reveal', 'Confronted', 'shout', 'publish', 'find', 'write', 'send', 'notice', 'end', 'join', 'publish', 'make', 'meet', 'fall', 'Confronted', 'marry', 'character', 'character', 'begin', 'marry', 'tell', 'rush', 'tell', 'manage', 'risk', 'air', 'notice', 'reciprocate', 'end', 'trigger', 'follow', 'confront', 'record', 'find', 'find', 'present', 'send', 'realise', 'receive', 'get', 'escape', 'meet', 'begin', 'kill', 'end', 'save', 'feeling', 'photojournalist', 'love', 'feeling', 'photojournalist', 'seduce', 'get', 'bet', 'consider', 'tell', 'end', 'marry', 'action', 'snob', 'friend', 'surprise', 'costume', 'admission', 'escape', 'let', 'awaken', 'fight', 'give', 'wife', 'brother']
8	['lie', 'go', 'marriage', 'house', 'husband', 'call', 'call', 'marriage', 'realize', 'kill', 'learn', 'refuse', 'threaten', 'marry', 'meet', 'end', 'convince', 'walk', 'die', 'join', 'recover', 'begin', 'arrange', 'tell', 'hire', 'fall', 'find', 'meet', 'kill', 'shoot', 'inform', 'attack', 'attack', 'throat', 'begin', 'sneak', 'pass', 'go', 'make', 'arrive', 'notice', 'go', 'threaten', 'separate', 'abandon', 'rescue', 'doctor', 'doctor', 'attack', 'attack', 'hide', 'call', 'bite', 'wife', 'get', 'hide', 'amend', 'find', 'find', 'hide', 'attitude', 'intention', 'thinking', 'husband']
9	['lack', 'prepare', 'become', 'become', 'confront', 'wife', 'discover', 'hear', 'run', 'attack', 'friend', 'suggest', 'drive', 'furious', 'take', 'ask', 'confusion', 'car', 'room', 'confusion', 'husband', 'marry', 'kill', 'daughter', 'daughter', 'King', 'move', 'reveal', 'perform', 'shoot', 'release', 'activate', 'marry', 'ambulance', 'ambulance', 'doctor']
